"Id","Name","Month","Amount","Invoice","ProductMaster","ProductName","Rule"
"a03RB00001NswVPYAZ","東急株式会社_2026/02","2026/02","11000","a00RB00002Am2BKYAZ","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswVQYAZ","東急株式会社_2026/03","2026/03","11000","a00RB00002Am2BKYAZ","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswVRYAZ","東急株式会社_2026/04","2026/04","11000","a00RB00002Am2BKYAZ","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswVkYAJ","東急建設 ○独特の請求書式あり_2026/04","2026/04","8000","a00RB00002B5oL9YAJ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswVlYAJ","東急建設 ○独特の請求書式あり_2026/05","2026/05","8000","a00RB00002B5oL9YAJ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001Nswk8YAB","株式会社ジョイフル本田（Pro１アカウント）_2026/06","2026/06","8000","a00RB00002Am2BfYAJ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswkMYAR","株式会社乃村工藝社 カルチャー・コミュニケーション推進本部_2026/05","2026/05","32000","a00RB00002Am2BAYAZ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswkNYAR","株式会社乃村工藝社 カルチャー・コミュニケーション推進本部_2026/06","2026/06","32000","a00RB00002Am2BAYAZ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswkdYAB","株式会社エリオクリエイト_2026/06","2026/06","96000","a00RB000027fzNvYAI","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswkeYAB","株式会社創建ホーム_2026/06","2026/06","1008000","a00RB00002B5oL4YAJ","a0CRB0000CcXZ6Z2QW","[年払] Rendery Enterpriseプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001Nswm1YAB","アグレ都市デザイン株式会社_2026/03","2026/03","11000","a00RB00002B5xxnYAB","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001Nswm2YAB","アグレ都市デザイン株式会社_2026/04","2026/04","11000","a00RB00002B5xxnYAB","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001Nswm3YAB","アグレ都市デザイン株式会社_2026/05","2026/05","11000","a00RB00002B5xxnYAB","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001Nswn6YAB","株式会社穂積住宅_2026/05","2026/05","33000","a00RB000027fzNnYAI","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswrmYAB","ホームトレードセンター株式会社_2026/05","2026/05","11000","a00RB000027fzNaYAI","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswrwYAB","株式会社アズスタット_2026/05","2026/05","11000","a00RB000027fzNbYAI","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIREgYAP","ムゲンエステート_2026/06","2026/06","8000","a00RB00002Am2BpYAJ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIREhYAP","ハウスプラザ_2026/06","2026/06","11000","a00RB00002AyetiYAB","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIREiYAP","株式会社イーグランド_2026/06","2026/06","11000","a00RB00002AyetlYAB","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIREkYAP","株式会社穂積住宅_2026/06","2026/06","33000","a00RB000027fzNnYAI","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIRElYAP","株式会社TRIAD_2026/06","2026/06","8000","a00RB00002Am2BoYAJ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIREnYAP","戸田建設(設計部:月額)_2026/06","2026/06","55000","a00RB00002Am2BqYAJ","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIREpYAP","株式会社エージェント_2026/06","2026/06","11000","a00RB00002B0dy8YAB","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIREqYAP","株式会社博進コスモプラザ_2026/06","2026/06","11000","a00RB00002AyetkYAB","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIRErYAP","47内装株式会社_2026/06","2026/06","55000","a00RB00002Am2BmYAJ","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIREtYAP","ANAスカイビルサービス株式会社　※郵送希望_2026/06","2026/06","16000","a00RB00002Am2BlYAJ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIREuYAP","吉村紳　一級建築士事務所_2026/06","2026/06","8000","a00RB00002Am2BkYAJ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIREwYAP","野原グループ株式会社_2026/06","2026/06","8000","a00RB00002Am2BjYAJ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIRF4YAP","ホームトレードセンター株式会社_2026/06","2026/06","11000","a00RB000027fzNaYAI","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIRF5YAP","株式会社アズスタット_2026/06","2026/06","11000","a00RB000027fzNbYAI","a0CRB0000CcXZ6i2QG","knock knock AI Basicプラン(50クレジット)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIRF6YAP","JOA株式会社_2026/06","2026/06","55000","a00RB00002Am2BrYAJ","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIRF7YAP","株式会社レーベントラスト_2026/06","2026/06","55000","a00RB00002Am2BsYAJ","a0CRB0000CcXZ6j2QG","knock knock AI Proプラン(300クレジット)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIRFCYA5","株式会社紀伊國屋書店_2026/06","2026/06","40000","a00RB00002Am2BbYAJ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIRFFYA5","株式会社ルミネ_2026/06","2026/06","8000","a00RB00002Am2BdYAJ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001RIRFHYA5","西日本旅客鉄道株式会社 ビジネスデザイン部　JCLaaS事業部_2026/06","2026/06","8000","a00RB00002Am2BeYAJ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
