Id,ProductMaster__c,MRR_Target__c,ARR_Target__c
a03RB00001NswVPYAZ,a0CRB0000CcXZ6T2QW,true,true
a03RB00001NswVQYAZ,a0CRB0000CcXZ6T2QW,true,true
a03RB00001NswVRYAZ,a0CRB0000CcXZ6T2QW,true,true
a03RB00001NswVkYAJ,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswVlYAJ,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001Nswk8YAB,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswkMYAR,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswkNYAR,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswkdYAB,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswkeYAB,a0CRB0000CcXZ6Z2QW,false,true
a03RB00001Nswm1YAB,a0CRB0000CcXZ6i2QG,true,true
a03RB00001Nswm2YAB,a0CRB0000CcXZ6i2QG,true,true
a03RB00001Nswm3YAB,a0CRB0000CcXZ6i2QG,true,true
a03RB00001Nswn6YAB,a0CRB0000CcXZ6i2QG,true,true
a03RB00001NswrmYAB,a0CRB0000CcXZ6i2QG,true,true
a03RB00001NswrwYAB,a0CRB0000CcXZ6i2QG,true,true
a03RB00001RIREgYAP,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001RIREhYAP,a0CRB0000CcXZ6i2QG,true,true
a03RB00001RIREiYAP,a0CRB0000CcXZ6i2QG,true,true
a03RB00001RIREkYAP,a0CRB0000CcXZ6i2QG,true,true
a03RB00001RIRElYAP,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001RIREnYAP,a0CRB0000CcXZ6T2QW,true,true
a03RB00001RIREpYAP,a0CRB0000CcXZ6i2QG,true,true
a03RB00001RIREqYAP,a0CRB0000CcXZ6i2QG,true,true
a03RB00001RIRErYAP,a0CRB0000CcXZ6T2QW,true,true
a03RB00001RIREtYAP,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001RIREuYAP,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001RIREwYAP,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001RIRF4YAP,a0CRB0000CcXZ6i2QG,true,true
a03RB00001RIRF5YAP,a0CRB0000CcXZ6i2QG,true,true
a03RB00001RIRF6YAP,a0CRB0000CcXZ6T2QW,true,true
a03RB00001RIRF7YAP,a0CRB0000CcXZ6j2QG,true,true
a03RB00001RIRFCYA5,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001RIRFFYA5,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001RIRFHYA5,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001RcABGYA3,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001RcABHYA3,a0CRB0000CcXZ6i2QG,true,true
a03RB00001RcABJYA3,a0CRB0000CcXZ6i2QG,true,true
a03RB00001RcABLYA3,a0CRB0000CcXZ6i2QG,true,true
a03RB00001RcABMYA3,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001RcABOYA3,a0CRB0000CcXZ6T2QW,true,true
a03RB00001RcABQYA3,a0CRB0000CcXZ6i2QG,true,true
a03RB00001RcABRYA3,a0CRB0000CcXZ6i2QG,true,true
a03RB00001RcABSYA3,a0CRB0000CcXZ6T2QW,true,true
a03RB00001RcABUYA3,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001RcABVYA3,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001RcABYYA3,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001RcABgYAN,a0CRB0000CcXZ6i2QG,true,true
a03RB00001RcABhYAN,a0CRB0000CcXZ6i2QG,true,true
a03RB00001RcABiYAN,a0CRB0000CcXZ6T2QW,true,true
a03RB00001RcABmYAN,a0CRB0000CcXZ6j2QG,true,true
a03RB00001RcAC7YAN,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001RcACFYA3,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001RcACHYA3,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001RcACJYA3,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001RcACNYA3,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001RcACOYA3,a0CRB0000CcXZ6Z2QW,false,true
