Id,ProductMaster__c,MRR_Target__c,ARR_Target__c
a03RB00001NswUHYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUIYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUJYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUKYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswULYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUMYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUNYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUOYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUPYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUQYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswURYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUSYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUTYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUUYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUVYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUWYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUXYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUYYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUZYAZ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUaYAJ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUbYAJ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUcYAJ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUdYAJ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUeYAJ,a0CRB0000CcXZ6Q2QW,false,false
a03RB00001NswUfYAJ,,false,false
a03RB00001NswUgYAJ,,false,false
a03RB00001NswUhYAJ,,false,false
a03RB00001NswUiYAJ,,false,false
a03RB00001NswUjYAJ,,false,false
a03RB00001NswUkYAJ,,false,false
a03RB00001NswUlYAJ,,false,false
a03RB00001NswUmYAJ,,false,false
a03RB00001NswUnYAJ,,false,false
a03RB00001NswUoYAJ,,false,false
a03RB00001NswUpYAJ,,false,false
a03RB00001NswUqYAJ,,false,false
a03RB00001NswUrYAJ,,false,false
a03RB00001NswUsYAJ,,false,false
a03RB00001NswUtYAJ,,false,false
a03RB00001NswUuYAJ,,false,false
a03RB00001NswUvYAJ,,false,false
a03RB00001NswUwYAJ,,false,false
a03RB00001NswUxYAJ,,false,false
a03RB00001NswUyYAJ,,false,false
a03RB00001NswUzYAJ,,false,false
a03RB00001NswV0YAJ,,false,false
a03RB00001NswV1YAJ,,false,false
a03RB00001NswV2YAJ,,false,false
a03RB00001NswV3YAJ,,false,false
a03RB00001NswV4YAJ,,false,false
a03RB00001NswV5YAJ,,false,false
a03RB00001NswV6YAJ,,false,false
a03RB00001NswV7YAJ,,false,false
a03RB00001NswV8YAJ,,false,false
a03RB00001NswV9YAJ,,false,false
a03RB00001NswVAYAZ,,false,false
a03RB00001NswVBYAZ,,false,false
a03RB00001NswVCYAZ,,false,false
a03RB00001NswVDYAZ,,false,false
a03RB00001NswVEYAZ,,false,false
a03RB00001NswVFYAZ,,false,false
a03RB00001NswVGYAZ,,false,false
a03RB00001NswVHYAZ,,false,false
a03RB00001NswVIYAZ,,false,false
a03RB00001NswVJYAZ,,false,false
a03RB00001NswVKYAZ,,false,false
a03RB00001NswVLYAZ,,false,false
a03RB00001NswVMYAZ,,false,false
a03RB00001NswVNYAZ,,false,false
a03RB00001NswVOYAZ,,false,false
a03RB00001NswVPYAZ,a0CRB0000CcXZ6T2QW,true,true
a03RB00001NswVQYAZ,a0CRB0000CcXZ6T2QW,true,true
