"Severity","Category","Object","Count"
"Medium","商品不足","ContractLineItem__c","1348"
"High","請求月不一致","ContractLineItem__c","685"
"High","重複","ContractLineItem__c","170"
"High","契約必須情報","Contract__c","134"
"High","契約期間必須情報","ContractPeriod__c","76"
"Medium","親子日付不一致","ContractPeriod__c","56"
"High","関連不足","Contract__c","44"
"High","月次不足","Contract__c","40"
"High","請求参照不一致","ContractLineItem__c","31"
"High","MRR","ContractLineItem__c","15"
"High","参照不足","ContractLineItem__c","12"
"High","MRR","Contract__c","8"
"High","期間重複","ContractPeriod__c","5"
"Medium","参照不足","Invoice__c","4"
"High","決済ステータス矛盾","Invoice__c","2"
"Medium","商品不足","InvoiceLine__c","2"
"High","入金金額不一致","Invoice__c","2"
"High","参照不一致","Invoice__c","1"
"High","参照不一致","ContractLineItem__c","1"
"High","明細不足","Invoice__c","1"
"High","参照不足","Invoice__c","1"
"High","取引先不一致","Invoice__c","1"
