Id,Name,MasterContract__c,MasterContract__r.ContractUpdate__c,Account__c,Month__c,PeriodStartDate__c,RelatedInvoice__c,RelatedInvoice__r.ParentContract__c,RelatedInvoice__r.Account__c,RelatedInvoice__r.Billing_Date__c
a03RB00001NswUHYAZ,サンフロンティア不動産株式会社_2024/06,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2024/06,2024-06-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUIYAZ,サンフロンティア不動産株式会社_2024/07,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2024/07,2024-07-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUJYAZ,サンフロンティア不動産株式会社_2024/08,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2024/08,2024-08-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUKYAZ,サンフロンティア不動産株式会社_2024/09,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2024/09,2024-09-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswULYAZ,サンフロンティア不動産株式会社_2024/10,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2024/10,2024-10-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUMYAZ,サンフロンティア不動産株式会社_2024/11,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2024/11,2024-11-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUNYAZ,サンフロンティア不動産株式会社_2024/12,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2024/12,2024-12-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUOYAZ,サンフロンティア不動産株式会社_2025/01,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2025/01,2025-01-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUPYAZ,サンフロンティア不動産株式会社_2025/02,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2025/02,2025-02-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUQYAZ,サンフロンティア不動産株式会社_2025/03,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2025/03,2025-03-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswURYAZ,サンフロンティア不動産株式会社_2025/04,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2025/04,2025-04-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUSYAZ,サンフロンティア不動産株式会社_2025/05,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2025/05,2025-05-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUTYAZ,サンフロンティア不動産株式会社_2025/06,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2025/06,2025-06-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUUYAZ,サンフロンティア不動産株式会社_2025/07,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2025/07,2025-07-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUVYAZ,サンフロンティア不動産株式会社_2025/08,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2025/08,2025-08-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUWYAZ,サンフロンティア不動産株式会社_2025/09,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2025/09,2025-09-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUXYAZ,サンフロンティア不動産株式会社_2025/10,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2025/10,2025-10-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUYYAZ,サンフロンティア不動産株式会社_2025/11,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2025/11,2025-11-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUZYAZ,サンフロンティア不動産株式会社_2025/12,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2025/12,2025-12-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUaYAJ,サンフロンティア不動産株式会社_2026/01,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2026/01,2026-01-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUbYAJ,サンフロンティア不動産株式会社_2026/02,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2026/02,2026-02-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUcYAJ,サンフロンティア不動産株式会社_2026/03,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2026/03,2026-03-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUdYAJ,サンフロンティア不動産株式会社_2026/04,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2026/04,2026-04-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUeYAJ,サンフロンティア不動産株式会社_2026/05,a04RB00000kUANdYAO,月,001RB00001VTqlYYAT,2026/05,2026-05-01,a00RB00002Am2BhYAJ,a04RB00000kUANdYAO,001RB00001VTqlYYAT,2026-07-20
a03RB00001NswUfYAJ,東急不動産株式会社_2024/08,a04RB00000kUANeYAO,月,001RB00001VTqUVYA1,2024/08,2024-08-01,,,,
a03RB00001NswUgYAJ,東急不動産株式会社_2024/09,a04RB00000kUANeYAO,月,001RB00001VTqUVYA1,2024/09,2024-09-01,,,,
a03RB00001NswUhYAJ,東急不動産株式会社_2024/10,a04RB00000kUANeYAO,月,001RB00001VTqUVYA1,2024/10,2024-10-01,,,,
a03RB00001NswUiYAJ,東急不動産株式会社_2024/11,a04RB00000kUANeYAO,月,001RB00001VTqUVYA1,2024/11,2024-11-01,,,,
a03RB00001NswUjYAJ,東急不動産株式会社_2024/12,a04RB00000kUANeYAO,月,001RB00001VTqUVYA1,2024/12,2024-12-01,,,,
a03RB00001NswUkYAJ,東急不動産株式会社_2025/01,a04RB00000kUANeYAO,月,001RB00001VTqUVYA1,2025/01,2025-01-01,,,,
a03RB00001NswUlYAJ,東急不動産株式会社_2025/02,a04RB00000kUANeYAO,月,001RB00001VTqUVYA1,2025/02,2025-02-01,,,,
a03RB00001NswUmYAJ,東急不動産株式会社_2025/03,a04RB00000kUANeYAO,月,001RB00001VTqUVYA1,2025/03,2025-03-01,,,,
a03RB00001NswUnYAJ,東急不動産株式会社_2025/04,a04RB00000kUANeYAO,月,001RB00001VTqUVYA1,2025/04,2025-04-01,,,,
