"Id","Account__c","ContractPeriod__c","ContractYearMonth__c","Month__c","PeriodEndDate__c","RevenueAmount__c","RelatedInvoice__c"
"a03RB00001NswVPYAZ","001RB00001VTrs0YAD","a0BRB00000ynb5b2AA","2026/02","2026/02","2026-02-28","11000","a00RB00002Am2BKYAZ"
"a03RB00001NswVQYAZ","001RB00001VTrs0YAD","a0BRB00000ynb5b2AA","2026/03","2026/03","2026-03-31","11000","a00RB00002Am2BKYAZ"
"a03RB00001NswVRYAZ","001RB00001VTrs0YAD","a0BRB00000ynb5b2AA","2026/04","2026/04","2026-04-30","11000","a00RB00002Am2BKYAZ"
"a03RB00001NswVkYAJ","001RB00001VTrseYAD","a0BRB00000ynb5c2AA","2026/04","2026/04","2026-04-30","8000","a00RB00002B5oL9YAJ"
"a03RB00001NswVlYAJ","001RB00001VTrseYAD","a0BRB00000ynb5c2AA","2026/05","2026/05","2026-05-31","8000","a00RB00002B5oL9YAJ"
"a03RB00001Nswk8YAB","001RB00001VTqkQYAT","a0BRB00000ynn562AA","2026/06","2026/06","2026-06-30","8000","a00RB00002Am2BfYAJ"
"a03RB00001NswkMYAR","001RB00001VTCZZYA5","a0BRB00000ynn592AA","2026/05","2026/05","2026-05-31","32000","a00RB00002Am2BAYAZ"
"a03RB00001NswkNYAR","001RB00001VTCZZYA5","a0BRB00000ynn592AA","2026/06","2026/06","2026-06-30","32000","a00RB00002Am2BAYAZ"
"a03RB00001NswkdYAB","001RB00001VTrxYYAT","a0BRB00000ynn5E2AQ","2026/06","2026/06","2026-06-30","96000","a00RB000027fzNvYAI"
"a03RB00001Nswm1YAB","001RB00001VTCYzYAP","a0BRB00000ynn5O2AQ","2026/03","2026/03","2026-03-31","11000","a00RB00002B5xxnYAB"
"a03RB00001Nswm2YAB","001RB00001VTCYzYAP","a0BRB00000ynn5O2AQ","2026/04","2026/04","2026-04-30","11000","a00RB00002B5xxnYAB"
"a03RB00001Nswm3YAB","001RB00001VTCYzYAP","a0BRB00000ynn5O2AQ","2026/05","2026/05","2026-05-31","11000","a00RB00002B5xxnYAB"
"a03RB00001Nswn6YAB","001RB00001VTqaGYAT","a0BRB00000ynn5T2AQ","2026/05","2026/05","2026-05-31","33000","a00RB000027fzNnYAI"
"a03RB00001NswrmYAB","001RB00001VTqnbYAD","a0BRB00000ynn5u2AA","2026/05","2026/05","2026-05-31","11000","a00RB000027fzNaYAI"
"a03RB00001NswrwYAB","001RB00001VTqnHYAT","a0BRB00000ynn5v2AA","2026/05","2026/05","2026-05-31","11000","a00RB000027fzNbYAI"
