"Id","Name","FreeeInvoiceId__c","FreeePartnerId__c","PartnerName__c","BillingDate__c","InvoiceAmount__c","ImportStatus__c","ResolvedAccount__c","ResolvedContract__c","ResolvedContractPeriod__c","CreatedInvoice__c","ValidationMessage__c","ProvisioningMessage__c"
"a0FRB00000YqK3u2AF","MFIW-000406","63110969","119253119","株式会社サンテン・コーポレーション","2026-07-20","35200","反映可能","001RB00001VTrRuYAL","a04RB00000nCmpRYAS","a0BRB000012acmf2AA","","","既存の契約管理を使用します。"
"a0FRB00000YqK3v2AF","MFIW-000407","63120578","119067627","株式会社パインウェル","2026-07-20","8800","反映可能","001RB00001b3qNeYAI","a04RB00000nCmpSYAS","a0BRB000012acmg2AA","","","既存の契約管理を使用します。"
"a0FRB00000YqK412AF","MFIW-000413","63126510","104523268","野村不動産株式会社","2026-07-20","2244000","要確認","001RB00001VTCYEYA5","a04RB00000lZ54zYAC","a0BRB0000100Bsb2AE","","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。","既存の契約管理を使用します。"
"a0FRB00000YqSO22AN","MFIW-000415","63128994","119252506","株式会社ワンズ・レーニア","2026-07-20","82500","反映可能","001RB00001VTrrHYAT","a04RB00000n5JeAYAU","a0BRB000012ECiM2AW","","","既存の契約管理を使用します。"
"a0FRB00000aCDG92AO","MFIW-000478","50768284","88602424","株式会社西武開発","2026-01-30","3088800","反映可能","001RB00001VTqaIYAT","a04RB00000kUAPZYA4","a0BRB00000ynn5R2AQ","","","既存の契約管理を使用します。"
"a0FRB00000aCb7D2AS","MFIW-000469","43817434","100189872","大東建託株式会社","2025-10-31","145200","反映可能","001RB00001VTruMYAT","a04RB00000nCmpTYAS","a0BRB000012acmh2AA","","","既存の契約管理を使用します。"
"a0FRB00000aDbGN2A0","MFIW-000449","41712745","100189872","大東建託株式会社","2025-09-30","145200","反映可能","001RB00001VTruMYAT","a04RB00000nCmpTYAS","a0BRB000012acmi2AA","","","既存の契約管理を使用します。"
"a0FRB00000aE0GL2A0","MFIW-000470","45827425","100189872","大東建託株式会社","2025-11-30","145200","反映可能","001RB00001VTruMYAT","a04RB00000nCmpTYAS","a0BRB000012acmj2AA","","","既存の契約管理を使用します。"
"a0FRB00000aE0GP2A0","MFIW-000474","47989036","100189872","大東建託株式会社","2025-12-31","145200","反映可能","001RB00001VTruMYAT","a04RB00000nCmpTYAS","a0BRB000012acmk2AA","","","既存の契約管理を使用します。"
"a0FRB00000au0xS2AQ","MFIW-000482","63416700","119252402","株式会社フォーデック","2026-07-22","8800","反映可能","001RB00001VTrqOYAT","a04RB00000nS9IfYAK","a0BRB000013KK4t2AG","","","承認済みルールからFreee管理の継続契約を自動作成しました。"
"a0FRB00000aurBN2AY","MFIW-000484","64068741","119252506","株式会社ワンズ・レーニア","2026-07-31","82500","反映可能","001RB00001VTrrHYAT","a04RB00000n5JeAYAU","a0BRB000012ECiM2AW","","","既存の契約管理を使用します。"
"a0FRB00000b1IdV2AU","MFIW-000485","63826047","119253912","清水建設 株式会社(北九州営業所)","2026-08-20","8800","反映可能","001RB00001VTrvxYAD","a04RB00000nS9IgYAK","a0BRB000013KK4u2AG","","","承認済みルールからFreee管理の継続契約を自動作成しました。"
