"Id","Name","ContractName","Account","Start","MRR","ResolvedWork","UncreatedResolved","AccountWork","UncreatedAccount","BillingSource"
"a04RB00000kUANnYAO","CN-00000013","studio55","001RB00001VTrOjYAL","2024-09-01","","0","0","0","0",""
"a04RB00000kUANqYAO","CN-00000016","東急リゾーツ＆ステイ","001RB00001VTrkXYAT","2024-11-01","44000","0","0","0","0",""
"a04RB00000kUANtYAO","CN-00000019","ジェイアール北海道エンジニアリング株式会社(大塚商会)","001RB00001VTr0TYAT","2024-12-01","6400","0","0","0","0",""
"a04RB00000kUANuYAO","CN-00000020","リリカラ(大塚商会)","001RB00001VTr1PYAT","2024-11-01","12800","0","0","0","0",""
"a04RB00000kUANxYAO","CN-00000023","九州旅客鉄道株式会社　工事部施設課","001RB00001VTrOlYAL","2024-12-01","8000","0","0","0","0",""
"a04RB00000kUAO6YAO","CN-00000032","佐伯綜合建設(大塚商会)","001RB00001VTtIQYA1","2025-02-01","6400","0","0","0","0",""
"a04RB00000kUAO9YAO","CN-00000035","矢作建設工業株式会社","001RB00001VTqlfYAD","2025-04-01","55000","0","0","0","0",""
"a04RB00000kUAOIYA4","CN-00000044","九州旅客鉄道株式会社　博多設備区","001RB00001VTrOlYAL","2025-05-01","8000","0","0","0","0",""
"a04RB00000kUAOKYA4","CN-00000046","アイリスオーヤマ（ストアデザイン部）","001RB00001VTqkwYAD","2025-06-01","44000","0","0","0","0",""
"a04RB00000kUAOLYA4","CN-00000047","アイリスオーヤマ（空間デザイン部）","001RB00001VTqkwYAD","2025-06-01","11000","0","0","0","0",""
"a04RB00000kUAONYA4","CN-00000049","九州旅客鉄道株式会社　開発工事部","001RB00001VTrOlYAL","2025-06-01","8000","0","0","0","0",""
"a04RB00000kUAOOYA4","CN-00000050","株式会社JR東日本建築設計","001RB00001VTrHVYA1","2025-07-01","8000","0","0","0","0",""
"a04RB00000kUAOVYA4","CN-00000057","三菱地所株式会社(DX推進部)","001RB00001VTqeCYAT","2025-10-01","16000","0","0","0","0",""
"a04RB00000kUAOXYA4","CN-00000059","株式会社コスモスイニシア　建築本部","001RB00001VTqgBYAT","2025-10-01","98000","0","0","5","1",""
"a04RB00000kUAOYYA4","CN-00000060","株式会社コスモスイニシア　建築本部(セキュリティオプション年払い）","001RB00001VTqgBYAT","2026-04-01","70000","0","0","5","1",""
"a04RB00000kUAOZYA4","CN-00000061","株式会社コスモスイニシア　事業本部（流通事業）","001RB00001VTqgBYAT","2025-10-01","42000","0","0","5","1",""
"a04RB00000kUAOaYAO","CN-00000062","株式会社コスモスイニシア　流通事業部(セキュリティオプション年払い）","001RB00001VTqgBYAT","2026-04-01","30000","0","0","5","1",""
"a04RB00000kUAOkYAO","CN-00000072","株式会社石勝エクステリア","001RB00001VTqnMYAT","2025-10-01","100000","0","0","2","1",""
"a04RB00000kUAOoYAO","CN-00000076","株式会社アールシーコア","001RB00001VTqxQYAT","2026-01-01","150000","0","0","5","1",""
"a04RB00000kUAOrYAO","CN-00000079","株式会社石勝エクステリア(シングルサインオン分）","001RB00001VTqnMYAT","2025-10-01","30000","0","0","2","1",""
"a04RB00000kUAOsYAO","CN-00000080","株式会社アールシーコア(セキュリティオプション月額）","001RB00001VTqxQYAT","2026-01-01","100000","0","0","5","1",""
"a04RB00000kUAOvYAO","CN-00000083","野村不動産株式会社","001RB00001VTCYEYA5","2026-04-01","150000","0","0","9","4",""
"a04RB00000kUAOwYAO","CN-00000084","野村不動産株式会社（シングルサインオン分）","001RB00001VTCYEYA5","2026-04-01","30000","0","0","9","4",""
