Id,Name,MasterContract__c,MasterContract__r.Status__c,ContractPeriod__c,Month__c,ProductMaster__c,RevenueAmount__c,MRR_Target__c,PeriodStartDate__c,PeriodEndDate__c,CreatedDate
a03RB00001NswVoYAJ,東急建設 ○独特の請求書式あり_2026/08,a04RB00000kUANhYAO,Activated,a0BRB00000ynb5c2AA,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:55.000+0000
a03RB00001NswYQYAZ,ジェイアール北海道エンジニアリング株式会社(大塚商会)_2026/08,a04RB00000kUANtYAO,Activated,a0BRB00000ynb5o2AA,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:55.000+0000
a03RB00001NswYoYAJ,リリカラ(大塚商会)_2026/08,a04RB00000kUANuYAO,Activated,a0BRB00000ynb5p2AA,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:55.000+0000
a03RB00001NswbDYAR,佐伯綜合建設(大塚商会)_2026/08,a04RB00000kUAO6YAO,Activated,a0BRB00000ynb612AA,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:55.000+0000
a03RB00001NsweFYAR,株式会社JR東日本建築設計_2026/08,a04RB00000kUAOOYA4,Activated,a0BRB00000ynb6J2AQ,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001NswfOYAR,株式会社コスモスイニシア 建築本部_2026/08,a04RB00000kUAOXYA4,Activated,a0BRB00000ynb6S2AQ,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001NswfaYAB,株式会社コスモスイニシア 建築本部(セキュリティオプション年払い）_2026/08,a04RB00000kUAOYYA4,Activated,a0BRB00000ynb6T2AQ,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001NswfsYAB,株式会社コスモスイニシア 事業本部（流通事業）_2026/08,a04RB00000kUAOZYA4,Activated,a0BRB00000ynb6U2AQ,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001Nswg4YAB,株式会社コスモスイニシア 流通事業部(セキュリティオプション年払い）_2026/08,a04RB00000kUAOaYAO,Activated,a0BRB00000ynb6V2AQ,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001NswgNYAR,大塚商会（大和財宅）_2026/08,a04RB00000kUAObYAO,Activated,a0BRB00000ynb6W2AQ,2026/08,a0CRB0000CcXZ6R2QW,88000,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001NswgsYAB,フロンヴィルホームズ名古屋株式会社_2026/08,a04RB00000kUAOhYAO,Activated,a0BRB00000ynb6c2AA,2026/08,a0CRB0000CcXZ6Q2QW,20000,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001Nswh0YAB,大東建託株式会社 商品開発部_2026/08,a04RB00000kUAOiYAO,Activated,a0BRB00000ynb6d2AA,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001NswhBYAR,三菱地所レジデンス株式会社_2026/08,a04RB00000kUAOjYAO,Activated,a0BRB00000ynb6e2AA,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001NswhMYAR,株式会社石勝エクステリア_2026/08,a04RB00000kUAOkYAO,Activated,a0BRB00000ynb6f2AA,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001NswhaYAB,株式会社フジタ（調達本部 インテリア・ソリューション統括部 インテリア部）_2026/08,a04RB00000kUAOlYAO,Activated,a0BRB00000ynb6g2AA,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001NswhrYAB,ジーク株式会社_2026/08,a04RB00000kUAOnYAO,Activated,a0BRB00000ynb6i2AA,2026/08,a0CRB0000CcXZ6Z2QW,,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001NswiAYAR,日鉄興和不動産株式会社_2026/08,a04RB00000kUAOqYAO,Activated,a0BRB00000ynb6l2AA,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001NswiTYAR,株式会社石勝エクステリア(シングルサインオン分）_2026/08,a04RB00000kUAOrYAO,Activated,a0BRB00000ynb6m2AA,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001NswiwYAB,株式会社トーケン_2026/08,a04RB00000kUAOxYAO,Activated,a0BRB00000ynb6s2AA,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001NswjGYAR,株式会社サンケイビル_2026/08,a04RB00000kUAP2YAO,Activated,a0BRB00000ynb6x2AA,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001NswjmYAB,株式会社フジタ BIM推進部_2026/08,a04RB00000kUAPCYA4,Activated,a0BRB00000ynn532AA,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001NswjyYAB,株式会社フジタ 設計統括部_2026/08,a04RB00000kUAPDYA4,Activated,a0BRB00000ynn542AA,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001NswkCYAR,若築建設株式会社_2026/08,a04RB00000kUAPGYA4,Activated,a0BRB00000ynn572AA,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001NswkQYAR,梅林建設株式会社_2026/08,a04RB00000kUAPJYA4,Activated,a0BRB00000ynn5A2AQ,2026/08,,,false,2026-08-01,2026-08-31,2026-06-21T16:13:56.000+0000
a03RB00001STmGpYAL,サンフロンティア不動産株式会社_2026/08,a04RB00000kUANdYAO,Activated,a0BRB000010uujm2AA,2026/08,a0CRB0000CcXZ6Q2QW,64000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmGqYAL,東急株式会社_2026/08,a04RB00000kUANgYAO,Activated,a0BRB000010uujn2AA,2026/08,,11000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmGrYAL,株式会社フロンティアコンサルティング_2026/08,a04RB00000kUANiYAO,Activated,a0BRB000010uujo2AA,2026/08,a0CRB0000CcXZ6T2QW,550000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmGsYAL,前田工務店_2026/08,a04RB00000kUANjYAO,Activated,a0BRB000010uujp2AA,2026/08,,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmGtYAL,ムゲンエステート_2026/08,a04RB00000kUANmYAO,Activated,a0BRB000010uujq2AA,2026/08,,8000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmGuYAL,studio55_2026/08,a04RB00000kUANnYAO,Activated,a0BRB000010uujr2AA,2026/08,,,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmGvYAL,東急リゾーツ＆ステイ_2026/08,a04RB00000kUANqYAO,Activated,a0BRB000010uujs2AA,2026/08,,44000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
