"Id","Name","ContractName","Update","MRR","LatestMonth","TemplateCount","GoodTemplates","AugPeriods","BillingSource"
"a04RB00000kUAO9YAO","CN-00000035","矢作建設工業株式会社","年","55000","2026/07","1","0","0",""
"a04RB00000kUAPNYA4","CN-00000111","株式会社エリオクリエイト","年","8000","2026/07","1","1","1",""
"a04RB00000kUAPOYA4","CN-00000112","株式会社創建ホーム","年","84000","2026/07","1","1","1",""
"a04RB00000kUAPZYA4","CN-00000123","株式会社西武開発","年","93500","2026/07","1","0","1",""
"a04RB00000kUAPiYAO","CN-00000132","株式会社Housebank千葉","月","55000","2026/07","1","1","0",""
"a04RB00000lZ54zYAC","CN-00000191","野村不動産株式会社　商業事業本部","年","198000","2026/07","3","3","1",""
"a04RB00000miHmIYAU","CN-00000196","コンチネンタルホーム株式会社_2026-07-01","月","40000","2026/07","1","1","0",""
"a04RB00000n5JdiYAE","CN-00000200","アイリスオーヤマ株式会社(空間デザイン部) [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","月","11000","2026/07","1","1","0","Freee"
"a04RB00000n5JdjYAE","CN-00000201","アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム) [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","月","44000","2026/07","1","1","0","Freee"
"a04RB00000n5JdkYAE","CN-00000202","九州旅客鉄道株式会社(博多設備区) Rendery Proプラン Freee自動請求契約","月","8000","2026/07","1","1","0","Freee"
"a04RB00000n5JdlYAE","CN-00000203","九州旅客鉄道株式会社(建設工事部施設課) Rendery Proプラン Freee自動請求契約","月","8000","2026/07","1","1","0","Freee"
"a04RB00000n5JdmYAE","CN-00000204","東急リゾーツ＆ステイ株式会社 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","月","44000","2026/07","1","1","0","Freee"
"a04RB00000n5JdnYAE","CN-00000205","九州旅客鉄道株式会社(開発工事部) Rendery Proプラン Freee自動請求契約","月","8000","2026/07","1","1","0","Freee"
"a04RB00000n5JdoYAE","CN-00000206","株式会社ＬＩＸＩＬ住宅研究所 Rendery Proプラン Freee自動請求契約","月","8000","2026/07","1","1","0","Freee"
"a04RB00000n5JdpYAE","CN-00000207","近鉄不動産株式会社 Rendery Enterpriseプラン Freee自動請求契約","月","195000","2026/06","2","2","0","Freee"
"a04RB00000n5JdqYAE","CN-00000208","株式会社ハートランド knock knock AI Basicプラン(50クレジット) Freee自動請求契約","月","11000","2026/06","1","1","0","Freee"
"a04RB00000n5JdrYAE","CN-00000209","西和不動産株式会社 栗東店 knock knock AI Basicプラン(50クレジット) Freee自動請求契約","月","11000","2026/06","1","1","0","Freee"
"a04RB00000n5JdsYAE","CN-00000210","株式会社ヨコハマ地所 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","月","11000","2026/06","2","2","0","Freee"
"a04RB00000n5JdtYAE","CN-00000211","株式会社JR東日本建築設計 Rendery Proプラン Freee自動請求契約","月","8000","2026/07","1","1","0","Freee"
"a04RB00000n5JduYAE","CN-00000212","三菱地所株式会社(DX推進部) Rendery Proプラン Freee自動請求契約","月","16000","2026/07","1","1","0","Freee"
"a04RB00000n5JdvYAE","CN-00000213","野村不動産株式会社 Rendery Enterpriseプラン Freee自動請求契約","月","180000","2026/06","2","2","0","Freee"
"a04RB00000n5JdwYAE","CN-00000214","株式会社デザインアーク（東京スペースソリューション第１営業所） Rendery Enterpriseプラン Freee自動請求契約","月","30000","2026/07","1","1","0","Freee"
"a04RB00000n5JdxYAE","CN-00000215","合同会社小島屋 Rendery Proプラン Freee自動請求契約","月","8000","2026/07","1","1","0","Freee"
"a04RB00000n5JdyYAE","CN-00000216","株式会社コスモスイニシア（流通事業部） Rendery Enterpriseプラン Freee自動請求契約","月","150000","2026/06","1","1","0","Freee"
"a04RB00000n5JdzYAE","CN-00000217","柏井建設株式会社 Rendery Enterpriseプラン Freee自動請求契約","月","75000","2026/07","1","1","0","Freee"
"a04RB00000n5Je0YAE","CN-00000218","株式会社シアーズホーム knock knock AI Basicプラン(50クレジット) Freee自動請求契約","月","11000","2026/03","1","1","0","Freee"
"a04RB00000n5Je1YAE","CN-00000219","株式会社ジョイフル本田 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","月","55000","2026/05","1","1","0","Freee"
"a04RB00000n5Je2YAE","CN-00000220","インフィニティ株式会社 Rendery Proプラン Freee自動請求契約","月","8000","2026/05","1","1","0","Freee"
"a04RB00000n5Je3YAE","CN-00000221","帝国不動産株式会社 Rendery Proプラン Freee自動請求契約","月","48000","2026/07","1","1","0","Freee"
"a04RB00000n5Je4YAE","CN-00000222","アイリスチトセ株式会社 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","月","77000","2026/04","1","1","0","Freee"
"a04RB00000n5Je5YAE","CN-00000223","株式会社JBリアルエステート knock knock AI Basicプラン(50クレジット) Freee自動請求契約","月","11000","2026/04","1","1","0","Freee"
"a04RB00000n5Je6YAE","CN-00000224","松栄不動産株式会社(アパマンショップ仙台東口店) knock knock AI Basicプラン(50クレジット) Freee自動請求契約","月","11000","2026/05","1","1","0","Freee"
"a04RB00000n5Je7YAE","CN-00000225","三井不動産レジデンシャルリース株式会社(ソリューション推進部) [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","月","132000","2026/07","1","1","0","Freee"
"a04RB00000n5Je8YAE","CN-00000226","株式会社三越伊勢丹プロパティ・デザイン Rendery Proプラン Freee自動請求契約","月","48000","2026/07","1","1","0","Freee"
"a04RB00000n5Je9YAE","CN-00000227","株式会社錢高組 Rendery Proプラン Freee自動請求契約","月","24000","2026/07","1","1","0","Freee"
"a04RB00000n5JeAYAU","CN-00000228","株式会社ワンズ・レーニア Rendery Enterpriseプラン Freee自動請求契約","月","","2026/07","1","1","0","Freee"
"a04RB00000nA94DYAS","CN-00000230","【着手金】AIシミュレーション開発・保守費⽤（2026年6⽉-2027年3⽉）","月","",,"0","0","0","Freee"
"a04RB00000nCmpRYAS","CN-00000233","株式会社サンテン・コーポレーション Rendery Proプラン Freee自動請求契約","月","","2026/07","1","1","0","Freee"
"a04RB00000nCmpSYAS","CN-00000234","株式会社パインウェル Rendery Proプラン Freee自動請求契約","月","","2026/07","1","1","0","Freee"
"a04RB00000nCmpTYAS","CN-00000235","大東建託株式会社 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","月","132000","2025/12","1","1","0","Freee"
"a04RB00000nRI1RYAW","CN-00000240","矢作建設_契約変更","年","",,"0","0","1","Salesforce"
"a04RB00000nS9IfYAK","CN-00000242","株式会社フォーデック Rendery Proプラン Freee自動請求契約","月","","2026/07","1","1","0","Freee"
