Id,Name,FreeeInvoiceId__c,ImportStatus__c,CreatedInvoice__c,ResolvedContract__c,ValidationMessage__c
a0FRB00000YqK3u2AF,MFIW-000406,63110969,反映済み,a00RB000029OI8sYAG,a04RB00000nCmpRYAS,
a0FRB00000YqK3v2AF,MFIW-000407,63120578,反映済み,a00RB000029dRq9YAE,a04RB00000nCmpSYAS,
a0FRB00000YqSO22AN,MFIW-000415,63128994,要確認,,a04RB00000n5JeAYAU,同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。
a0FRB00000aCDG92AO,MFIW-000478,50768284,反映済み,a00RB00002DFRNdYAP,a04RB00000kUAPZYA4,
a0FRB00000aCb7D2AS,MFIW-000469,43817434,反映済み,a00RB00002DFRNeYAP,a04RB00000nCmpTYAS,
a0FRB00000aDbGN2A0,MFIW-000449,41712745,反映済み,a00RB00002DFRNfYAP,a04RB00000nCmpTYAS,
a0FRB00000aE0GL2A0,MFIW-000470,45827425,反映済み,a00RB00002DFRNgYAP,a04RB00000nCmpTYAS,
a0FRB00000aE0GP2A0,MFIW-000474,47989036,反映済み,a00RB00002DFRNhYAP,a04RB00000nCmpTYAS,
a0FRB00000au0xS2AQ,MFIW-000482,63416700,反映済み,a00RB00002DFRNiYAP,a04RB00000nS9IfYAK,
a0FRB00000aurBN2AY,MFIW-000484,64068741,反映済み,a00RB00002DFRNjYAP,a04RB00000n5JeAYAU,
a0FRB00000b1IdV2AU,MFIW-000485,63826047,反映済み,a00RB00002BavLRYAZ,a04RB00000nS9IgYAK,
