Id,Name,Account__c,ParentContract__c,ParentContract__r.Account__c,ParentContract__r.Status__c,ContractPeriod__c,ContractPeriod__r.Contract__c,Billing_Date__c,Payment_Date__c,TargetPeriodStartDate__c,TargetPeriodEndDate__c,TotalAmount__c,AmountWithTax__c,InvoiceAmount__c,TaxAmount__c,PaidAmount__c,UnpaidAmount__c,CancelStatus__c,PaymentStatus__c,Freee_Invoice_Status__c,Freee_Sync_Status__c,Freee_Invoice_Id__c,Freee_Invoice_Number__c,Freee_Invoice_URL__c,Sent_To_Freee__c,CreatedDate
a00RB000023liu7YAA,INV-0000000003,001RB00001UvdpFYAR,,,,,,2026-06-19,2026-07-31,,,24000,26400,26400,2400,0,26400,通常,決済待ち,送付待ち,Success,60979452,INV-0000001368,https://invoice.secure.freee.co.jp/reports/invoices/60979452,true,2026-06-18T10:55:21.000+0000
a00RB000024Ux4BYAS,INV-0000000004,001RB00001VTrvXYAT,a04RB00000kVL7WYAW,001RB00001VTrvXYAT,Draft,a0BRB00000ypw692AA,a04RB00000kVL7WYAW,2026-03-23,2026-04-30,,,780000,924000,924000,144000,924000,0,通常,決済済み,送付済み,Success,54529958,INV-0000001097,https://invoice.secure.freee.co.jp/reports/invoices/54529958,true,2026-06-22T00:58:56.000+0000
a00RB000024Ux4CYAS,INV-0000000005,001RB00001VTraTYAT,a04RB00000kUAOUYA4,001RB00001VTraTYAT,Activated,a0BRB00000ynb6P2AQ,a04RB00000kUAOUYA4,2026-05-15,2026-05-31,,,216000,237600,237600,21600,237600,0,通常,決済済み,送付待ち,Success,58486126,INV-0000001197,https://invoice.secure.freee.co.jp/reports/invoices/58486126,true,2026-06-22T00:58:56.000+0000
a00RB000024Ux4DYAS,INV-0000000006,001RB00001VTraTYAT,a04RB00000kUAOUYA4,001RB00001VTraTYAT,Activated,a0BRB00000ynb6P2AQ,a04RB00000kUAOUYA4,2026-05-15,2026-05-31,,,2880000,3168000,3168000,288000,3168000,0,通常,決済済み,送付待ち,Success,58486360,INV-0000001198,https://invoice.secure.freee.co.jp/reports/invoices/58486360,true,2026-06-22T00:58:56.000+0000
a00RB000024Ux4EYAS,INV-0000000007,001RB00001VTraTYAT,a04RB00000kUAOUYA4,001RB00001VTraTYAT,Activated,a0BRB00000ynb6P2AQ,a04RB00000kUAOUYA4,2026-03-25,2026-04-30,,,49000,53900,53900,4900,53900,0,通常,決済済み,送付済み,Success,54695329,INV-0000001101,https://invoice.secure.freee.co.jp/reports/invoices/54695329,true,2026-06-22T00:58:56.000+0000
a00RB000024Ux4FYAS,INV-0000000008,001RB00001VTrvcYAD,a04RB00000kVL7cYAG,001RB00001VTrvcYAD,Draft,a0BRB00000ypw6H2AQ,a04RB00000kVL7cYAG,2026-06-09,2026-07-31,,,160000,176000,176000,16000,176000,0,通常,決済済み,送付済み,Success,60417633,INV-0000001286,https://invoice.secure.freee.co.jp/reports/invoices/60417633,true,2026-06-22T00:58:56.000+0000
a00RB000024Ux4GYAS,INV-0000000009,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,001RB00001VTqgBYAT,Draft,a0BRB00000ypw662AA,a04RB00000kVL7VYAW,2026-03-19,2026-04-30,,,885000,973500,973500,88500,973500,0,通常,決済済み,送付済み,Success,54361336,INV-0000001096,https://invoice.secure.freee.co.jp/reports/invoices/54361336,true,2026-06-22T00:58:56.000+0000
a00RB000024Ux4HYAS,INV-0000000010,001RB00001VcyFLYAZ,a04RB00000kVL7MYAW,001RB00001VcyFLYAZ,Draft,a0BRB00000ypw5t2AA,a04RB00000kVL7MYAW,2026-03-02,2026-04-30,,,51940,56940,56940,5000,56940,0,通常,決済済み,送付済み,Success,53082772,INV-0000001025,https://invoice.secure.freee.co.jp/reports/invoices/53082772,true,2026-06-22T00:58:56.000+0000
a00RB000024Ux4IYAS,INV-0000000011,001RB00001VTqkoYAD,a04RB00000kVL7eYAG,001RB00001VTqkoYAD,Draft,a0BRB00000ypw6J2AQ,a04RB00000kVL7eYAG,2026-03-02,2026-03-31,,,1670000,1670000,1670000,151818,1837000,0,通常,決済済み,送付済み,Success,53100155,INV-0000001026,https://invoice.secure.freee.co.jp/reports/invoices/53100155,true,2026-06-22T00:58:56.000+0000
a00RB000024Ux4JYAS,INV-0000000012,001RB00001VcyFMYAZ,a04RB00000kVL7XYAW,001RB00001VcyFMYAZ,Draft,a0BRB00000ypw6A2AQ,a04RB00000kVL7XYAW,2026-03-13,2026-04-30,,,11700000,12870000,12870000,1170000,12870000,0,通常,決済済み,送付済み,Success,53825605,INV-0000001028,https://invoice.secure.freee.co.jp/reports/invoices/53825605,true,2026-06-22T00:58:56.000+0000
a00RB000024Ux4KYAS,INV-0000000013,001RB00001VTqlYYAT,a04RB00000kUANdYAO,001RB00001VTqlYYAT,Activated,a0BRB00000ynb5Y2AQ,a04RB00000kUANdYAO,2026-03-18,2026-04-30,,,64000,70400,70400,6400,70400,0,通常,決済済み,送付済み,Success,54237366,INV-0000001087,https://invoice.secure.freee.co.jp/reports/invoices/54237366,true,2026-06-22T00:58:56.000+0000
a00RB000024Ux4LYAS,INV-0000000014,001RB00001VTqlHYAT,a04RB00000kUANiYAO,001RB00001VTqlHYAT,Activated,a0BRB00000ynb5d2AA,a04RB00000kUANiYAO,2026-03-18,2026-04-30,,,462000,508200,508200,46200,508200,0,通常,決済済み,送付済み,Success,54237761,INV-0000001088,https://invoice.secure.freee.co.jp/reports/invoices/54237761,true,2026-06-22T00:58:56.000+0000
a00RB000024Ux4MYAS,INV-0000000015,001RB00001VTqleYAD,a04RB00000kUAObYAO,001RB00001VTqleYAD,Activated,a0BRB00000ynb6W2AQ,a04RB00000kUAObYAO,2026-03-18,2026-04-30,,,12800,14080,14080,1280,14080,0,通常,決済済み,送付済み,Success,54238142,INV-0000001089,https://invoice.secure.freee.co.jp/reports/invoices/54238142,true,2026-06-22T00:58:56.000+0000
a00RB000024Ux4NYAS,INV-0000000016,001RB00001VTrtrYAD,a04RB00000kUAOEYA4,001RB00001VTrtrYAD,Activated,a0BRB00000ynb692AA,a04RB00000kUAOEYA4,2026-03-18,2026-04-30,,,48000,52800,52800,4800,52800,0,通常,決済済み,送付済み,Success,54240654,INV-0000001090,https://invoice.secure.freee.co.jp/reports/invoices/54240654,true,2026-06-22T00:58:56.000+0000
a00RB000024Ux4OYAS,INV-0000000017,001RB00001VcyFNYAZ,a04RB00000kVL7dYAG,001RB00001VcyFNYAZ,Draft,a0BRB00000ypw6I2AQ,a04RB00000kVL7dYAG,2026-04-09,2026-05-31,,,120000,132000,132000,12000,132000,0,通常,決済済み,送付済み,Success,56091285,INV-0000001106,https://invoice.secure.freee.co.jp/reports/invoices/56091285,true,2026-06-22T00:58:56.000+0000
a00RB000024Ux4PYAS,INV-0000000018,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,001RB00001VTqbXYAT,Activated,a0BRB00000ynb6O2AQ,a04RB00000kUAOTYA4,2026-04-09,,,,132000,145200,145200,13200,0,145200,通常,決済待ち,送付待ち,Success,56133730,INV-0000001107,https://invoice.secure.freee.co.jp/reports/invoices/56133730,true,2026-06-22T00:58:56.000+0000
a00RB000024Ux4QYAS,INV-0000000019,001RB00001VTqUVYA1,a04RB00000kVL7iYAG,001RB00001VTqUVYA1,Draft,a0BRB00000ypw6O2AQ,a04RB00000kVL7iYAG,2026-03-20,2026-04-30,,,209000,229900,229900,20900,229900,0,通常,決済済み,送付済み,Success,54067648,INV-0000001029,https://invoice.secure.freee.co.jp/reports/invoices/54067648,true,2026-06-22T00:58:56.000+0000
a00RB000024Ux4RYAS,INV-0000000020,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,001RB00001VTqbXYAT,Activated,a0BRB00000ynb6O2AQ,a04RB00000kUAOTYA4,2026-03-20,2026-04-30,,,110000,121000,121000,11000,121000,0,通常,決済済み,送付済み,Success,54067657,INV-0000001030,https://invoice.secure.freee.co.jp/reports/invoices/54067657,true,2026-06-22T00:58:56.000+0000
a00RB000024Ux4SYAS,INV-0000000021,001RB00001VTrGkYAL,a04RB00000kUAQAYA4,001RB00001VTrGkYAL,Activated,a0BRB00000ynn622AA,a04RB00000kUAQAYA4,2026-03-20,2026-04-30,,,11000,12100,12100,1100,12100,0,通常,決済済み,送付済み,Success,54067660,INV-0000001031,https://invoice.secure.freee.co.jp/reports/invoices/54067660,true,2026-06-22T00:58:56.000+0000
