Id,Name,Contract__c,Contract__r.ContractUpdate__c,Contract__r.Status__c,PeriodStartDate__c,PeriodEndDate__c,RenewalCount__c,IsInitialPeriod__c
a0BRB00000ynb5Y2AQ,CP-00000001,a04RB00000kUANdYAO,月,Activated,2024-06-01,,,true
a0BRB00000ynb5d2AA,CP-00000006,a04RB00000kUANiYAO,月,Activated,2024-08-01,,,true
a0BRB00000ynb5e2AA,CP-00000007,a04RB00000kUANjYAO,月,Activated,2024-10-01,,,true
a0BRB00000ynb5h2AA,CP-00000010,a04RB00000kUANmYAO,月,Activated,2024-10-01,,,true
a0BRB00000ynb5i2AA,CP-00000011,a04RB00000kUANnYAO,月,Activated,2024-09-01,,,true
a0BRB00000ynb5l2AA,CP-00000014,a04RB00000kUANqYAO,月,Activated,2024-11-01,,,true
a0BRB00000ynb5r2AA,CP-00000020,a04RB00000kUANwYAO,月,Activated,2025-01-01,,,true
a0BRB00000ynb5s2AA,CP-00000021,a04RB00000kUANxYAO,月,Activated,2024-12-01,,,true
a0BRB00000ynb5v2AA,CP-00000024,a04RB00000kUAO0YAO,月,Activated,2025-02-01,,,true
a0BRB00000ynb5w2AA,CP-00000025,a04RB00000kUAO1YAO,月,Activated,2025-03-01,,,true
a0BRB00000ynb5x2AA,CP-00000026,a04RB00000kUAO2YAO,月,Activated,2025-04-01,,,true
a0BRB00000ynb622AA,CP-00000031,a04RB00000kUAO7YAO,月,Activated,2025-04-01,,,true
a0BRB00000ynb692AA,CP-00000038,a04RB00000kUAOEYA4,月,Activated,2025-05-01,,,true
a0BRB00000ynb6A2AQ,CP-00000039,a04RB00000kUAOFYA4,月,Activated,2025-05-01,,,true
a0BRB00000ynb6D2AQ,CP-00000042,a04RB00000kUAOIYA4,月,Activated,2025-05-01,,,true
a0BRB00000ynb6F2AQ,CP-00000044,a04RB00000kUAOKYA4,月,Activated,2025-06-01,,,true
a0BRB00000ynb6G2AQ,CP-00000045,a04RB00000kUAOLYA4,月,Activated,2025-06-01,,,true
a0BRB00000ynb6J2AQ,CP-00000048,a04RB00000kUAOOYA4,月,Activated,2025-07-01,,,true
a0BRB00000ynb6M2AQ,CP-00000051,a04RB00000kUAORYA4,月,Activated,2025-09-01,,,true
a0BRB00000ynb6O2AQ,CP-00000053,a04RB00000kUAOTYA4,月,Activated,2025-09-01,,,true
a0BRB00000ynb6P2AQ,CP-00000054,a04RB00000kUAOUYA4,月,Activated,2025-09-01,,,true
a0BRB00000ynb6Q2AQ,CP-00000055,a04RB00000kUAOVYA4,月,Activated,2025-10-01,,,true
a0BRB00000ynb6Y2AQ,CP-00000063,a04RB00000kUAOdYAO,月,Activated,2025-11-01,,,true
a0BRB00000ynb6a2AA,CP-00000065,a04RB00000kUAOfYAO,月,Activated,2026-01-01,,,true
a0BRB00000ynb6b2AA,CP-00000066,a04RB00000kUAOgYAO,月,Activated,2026-01-01,,,true
a0BRB00000ynb6c2AA,CP-00000067,a04RB00000kUAOhYAO,月,Activated,2026-03-01,,,true
a0BRB00000ynb6e2AA,CP-00000069,a04RB00000kUAOjYAO,月,Activated,2026-01-01,,,true
a0BRB00000ynb6i2AA,CP-00000073,a04RB00000kUAOnYAO,年,Activated,2026-02-01,,,true
a0BRB00000ynb6j2AA,CP-00000074,a04RB00000kUAOoYAO,月,Activated,2026-01-01,,,true
a0BRB00000ynb6k2AA,CP-00000075,a04RB00000kUAOpYAO,月,Activated,2026-02-01,,,true
a0BRB00000ynb6n2AA,CP-00000078,a04RB00000kUAOsYAO,月,Activated,2026-01-01,,,true
a0BRB00000ynb6o2AA,CP-00000079,a04RB00000kUAOtYAO,月,Activated,2026-02-01,,,true
a0BRB00000ynb6q2AA,CP-00000081,a04RB00000kUAOvYAO,月,Activated,2026-04-01,,,true
a0BRB00000ynb6r2AA,CP-00000082,a04RB00000kUAOwYAO,月,Activated,2026-04-01,,,true
a0BRB00000ynb6t2AA,CP-00000084,a04RB00000kUAOyYAO,月,Activated,2026-04-01,,,true
a0BRB00000ynb6v2AA,CP-00000086,a04RB00000kUAP0YAO,月,Activated,2026-03-01,,,true
a0BRB00000ynb6w2AA,CP-00000087,a04RB00000kUAP1YAO,月,Activated,2026-04-01,,,true
a0BRB00000ynb6y2AA,CP-00000089,a04RB00000kUAP3YAO,月,Activated,2026-03-01,,,true
a0BRB00000ynb6z2AA,CP-00000090,a04RB00000kUAP4YAO,月,Activated,2026-04-01,,,true
a0BRB00000ynb702AA,CP-00000091,a04RB00000kUAP5YAO,月,Activated,2026-04-01,,,true
a0BRB00000ynb712AA,CP-00000092,a04RB00000kUAP6YAO,月,Activated,2026-04-01,,,true
a0BRB00000ynb722AA,CP-00000093,a04RB00000kUAP7YAO,月,Activated,2026-04-01,,,true
a0BRB00000ynb732AA,CP-00000094,a04RB00000kUAP8YAO,月,Activated,2026-04-01,,,true
a0BRB00000ynb742AA,CP-00000095,a04RB00000kUAP9YAO,月,Activated,2026-04-01,,,true
a0BRB00000ynb752AA,CP-00000096,a04RB00000kUAPAYA4,月,Activated,2026-04-01,,,true
a0BRB00000ynb762AA,CP-00000097,a04RB00000kUAPBYA4,月,Activated,2026-04-01,,,true
a0BRB00000ynn552AA,CP-00000100,a04RB00000kUAPEYA4,月,Activated,2026-04-01,,,true
a0BRB00000ynn562AA,CP-00000101,a04RB00000kUAPFYA4,月,Activated,2026-06-01,,,true
a0BRB00000ynn582AA,CP-00000103,a04RB00000kUAPHYA4,月,Activated,2026-05-01,,,true
a0BRB00000ynn592AA,CP-00000104,a04RB00000kUAPIYA4,月,Activated,2026-05-01,,,true
a0BRB00000ynn5B2AQ,CP-00000106,a04RB00000kUAPKYA4,月,Activated,2026-06-01,,,true
a0BRB00000ynn5D2AQ,CP-00000108,a04RB00000kUAPMYA4,月,Activated,2026-06-01,,,true
a0BRB00000ynn5K2AQ,CP-00000115,a04RB00000kUANnYAO,月,Activated,2024-09-01,,,true
a0BRB00000ynn5N2AQ,CP-00000118,a04RB00000kUAPVYA4,月,Activated,2024-10-01,,,true
