"Id","Name","Account","Start","MRR","Update","BillingSource","AutoFreee","AccountInvoices","InvoiceContracts","AccountContracts","OtherActiveContracts"
"a04RB00000kUANnYAO","CN-00000013","001RB00001VTrOjYAL","2024-09-01","","月","","false","0","","1","0"
"a04RB00000kUANqYAO","CN-00000016","001RB00001VTrkXYAT","2024-11-01","44000","月","","false","0","","1","0"
"a04RB00000kUANtYAO","CN-00000019","001RB00001VTr0TYAT","2024-12-01","6400","月","","false","0","","1","0"
"a04RB00000kUANuYAO","CN-00000020","001RB00001VTr1PYAT","2024-11-01","12800","月","","false","0","","1","0"
"a04RB00000kUANxYAO","CN-00000023","001RB00001VTrOlYAL","2024-12-01","8000","月","","false","0","","3","2"
"a04RB00000kUAO6YAO","CN-00000032","001RB00001VTtIQYA1","2025-02-01","6400","年","","false","0","","1","0"
"a04RB00000kUAO9YAO","CN-00000035","001RB00001VTqlfYAD","2025-04-01","55000","年","","false","0","","2","1"
"a04RB00000kUAOIYA4","CN-00000044","001RB00001VTrOlYAL","2025-05-01","8000","月","","false","0","","3","2"
"a04RB00000kUAOKYA4","CN-00000046","001RB00001VTqkwYAD","2025-06-01","44000","月","","false","0","","4","1"
"a04RB00000kUAOLYA4","CN-00000047","001RB00001VTqkwYAD","2025-06-01","11000","月","","false","0","","4","1"
"a04RB00000kUAONYA4","CN-00000049","001RB00001VTrOlYAL","2025-06-01","8000","月","","false","0","","3","2"
"a04RB00000kUAOOYA4","CN-00000050","001RB00001VTrHVYA1","2025-07-01","8000","月","","false","0","","1","0"
"a04RB00000kUAOVYA4","CN-00000057","001RB00001VTqeCYAT","2025-10-01","16000","月","","false","0","","1","0"
"a04RB00000kUAOXYA4","CN-00000059","001RB00001VTqgBYAT","2025-10-01","98000","月","","false","4","a04RB00000kVL7VYAW","6","3"
"a04RB00000kUAOYYA4","CN-00000060","001RB00001VTqgBYAT","2026-04-01","70000","年","","false","4","a04RB00000kVL7VYAW","6","3"
"a04RB00000kUAOZYA4","CN-00000061","001RB00001VTqgBYAT","2025-10-01","42000","年","","false","4","a04RB00000kVL7VYAW","6","3"
"a04RB00000kUAOaYAO","CN-00000062","001RB00001VTqgBYAT","2026-04-01","30000","年","","false","4","a04RB00000kVL7VYAW","6","3"
"a04RB00000kUAOkYAO","CN-00000072","001RB00001VTqnMYAT","2025-10-01","100000","年","","false","1","a04RB00000kVL7aYAG","3","1"
"a04RB00000kUAOoYAO","CN-00000076","001RB00001VTqxQYAT","2026-01-01","150000","月","","false","4","a04RB00000kVL7SYAW","3","1"
"a04RB00000kUAOrYAO","CN-00000079","001RB00001VTqnMYAT","2025-10-01","30000","年","","false","1","a04RB00000kVL7aYAG","3","1"
"a04RB00000kUAOsYAO","CN-00000080","001RB00001VTqxQYAT","2026-01-01","100000","月","","false","4","a04RB00000kVL7SYAW","3","1"
"a04RB00000kUAOvYAO","CN-00000083","001RB00001VTCYEYA5","2026-04-01","150000","月","","false","6","a04RB00000kVL7jYAG;a04RB00000lZ54zYAC;a04RB00000n5JdvYAE","5","3"
"a04RB00000kUAOwYAO","CN-00000084","001RB00001VTCYEYA5","2026-04-01","30000","月","","false","6","a04RB00000kVL7jYAG;a04RB00000lZ54zYAC;a04RB00000n5JdvYAE","5","3"
"a04RB00000kUAP2YAO","CN-00000090","001RB00001VTrvXYAT","2026-04-01","70000","年","","false","1","a04RB00000kVL7WYAW","2","0"
"a04RB00000kUAP8YAO","CN-00000096","001RB00001VTrvcYAD","2026-04-01","180000","月","","false","3","a04RB00000kVL7cYAG;a04RB00000n5JdpYAE","4","2"
"a04RB00000kUAP9YAO","CN-00000097","001RB00001VTrvcYAD","2026-04-01","100000","月","","false","3","a04RB00000kVL7cYAG;a04RB00000n5JdpYAE","4","2"
"a04RB00000kUAPCYA4","CN-00000100","001RB00001VTrwFYAT","2026-04-01","42000","年","","false","1","a04RB00000kUAOlYAO","3","2"
"a04RB00000kUAPDYA4","CN-00000101","001RB00001VTrwFYAT","2026-04-01","98000","年","","false","1","a04RB00000kUAOlYAO","3","2"
"a04RB00000kUAPKYA4","CN-00000108","001RB00001VTruAYAT","2026-06-01","30000","月","","false","5","a04RB00000kUAOAYA4","2","1"
"a04RB00000kUAPLYA4","CN-00000109","001RB00001VTrnrYAD","2026-06-01","150000","月","","false","0","","1","0"
"a04RB00000kUAPMYA4","CN-00000110","001RB00001VTruZYAT","2026-06-01","8000","月","","false","0","","1","0"
"a04RB00000kUAPgYAO","CN-00000130","001RB00001VTqYlYAL","2025-02-01","11000","月","","false","0","","1","0"
"a04RB00000nCmpRYAS","CN-00000233","001RB00001VTrRuYAL","2026-07-01","32000","月","Freee","true","1","a04RB00000md4o5YAA","2","0"
"a04RB00000nCmpSYAS","CN-00000234","001RB00001b3qNeYAI","2026-07-01","8000","月","Freee","true","1","a04RB00000miY3xYAE","2","0"
"a04RB00000nRI1RYAW","CN-00000240","001RB00001VTqlfYAD","2026-08-01","","年","Salesforce","false","0","","2","1"
"a04RB00000nS9IgYAK","CN-00000243","001RB00001VTrvxYAD","2026-08-01","8000","月","Freee","true","3","a04RB00000nCFH5YAO;a04RB00000nCVWrYAO;a04RB00000nIA1VYAW","4","0"
