"Id","Name","Start","Periods","PeriodStarts","PeriodEnds","MaxEnd"
"a04RB00000kUANhYAO","CN-00000007","2024-09-01","1","2024-09-01","2027-03-31","2027-03-31"
"a04RB00000kUAO6YAO","CN-00000032","2025-02-01","1","2025-02-01","2027-01-31","2027-01-31"
"a04RB00000kUAO9YAO","CN-00000035","2025-04-01","1","2025-04-01","2026-07-30","2026-07-30"
"a04RB00000kUAOYYA4","CN-00000060","2026-04-01","1","2026-04-01","2027-03-31","2027-03-31"
"a04RB00000kUAOZYA4","CN-00000061","2025-10-01","1","2025-10-01","2027-03-31","2027-03-31"
"a04RB00000kUAOaYAO","CN-00000062","2026-04-01","1","2026-04-01","2027-03-31","2027-03-31"
"a04RB00000kUAObYAO","CN-00000063","2025-09-01","1","2025-09-01","2026-08-31","2026-08-31"
"a04RB00000kUAOiYAO","CN-00000070","2026-01-01","1","2026-01-01","2026-12-31","2026-12-31"
"a04RB00000kUAOkYAO","CN-00000072","2025-10-01","1","2025-10-01","2027-03-31","2027-03-31"
"a04RB00000kUAOlYAO","CN-00000073","2026-02-01","1","2026-02-01","2027-03-31","2027-03-31"
"a04RB00000kUAOnYAO","CN-00000075","2026-02-01","1","2026-02-01","2027-01-31","2027-01-31"
"a04RB00000kUAOqYAO","CN-00000078","2026-02-01","1","2026-02-01","2027-04-30","2027-04-30"
"a04RB00000kUAOrYAO","CN-00000079","2025-10-01","1","2025-10-01","2027-03-31","2027-03-31"
"a04RB00000kUAOxYAO","CN-00000085","2026-03-01","1","2026-03-01","2027-02-28","2027-02-28"
"a04RB00000kUAP2YAO","CN-00000090","2026-04-01","1","2026-04-01","2027-03-31","2027-03-31"
"a04RB00000kUAPCYA4","CN-00000100","2026-04-01","1","2026-04-01","2027-03-31","2027-03-31"
"a04RB00000kUAPDYA4","CN-00000101","2026-04-01","1","2026-04-01","2027-03-31","2027-03-31"
"a04RB00000kUAPGYA4","CN-00000104","2026-05-01","1","2026-05-01","2027-04-30","2027-04-30"
"a04RB00000kUAPJYA4","CN-00000107","2026-06-01","1","2026-06-01","2027-05-31","2027-05-31"
"a04RB00000kUAPNYA4","CN-00000111","2026-06-01","1","2026-06-01","2027-05-31","2027-05-31"
"a04RB00000kUAPOYA4","CN-00000112","2026-06-01","1","2026-06-01","2027-05-31","2027-05-31"
"a04RB00000kUAPZYA4","CN-00000123","2024-12-01","1","2024-12-01","2027-01-31","2027-01-31"
"a04RB00000nRI1RYAW","CN-00000240","2026-08-01","1","2026-08-01","2027-07-31","2027-07-31"
