Id,Name,FreeeInvoiceId__c,BillingDate__c,InvoiceAmount__c,ImportStatus__c,ValidationMessage__c,ResolvedAccount__c,ResolvedContract__c,ResolvedContractPeriod__c,CreatedInvoice__c
a0FRB00000UsZSL2A3,MFIW-000050,54529958,2026-03-23,924000,反映済み,,001RB00001VTrvXYAT,a04RB00000kVL7WYAW,a0BRB00000ypw692AA,a00RB000024Ux4BYAS
a0FRB00000Usb9f2AB,MFIW-000089,58486126,2026-05-15,237600,反映済み,,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Ux4CYAS
a0FRB00000Usb9g2AB,MFIW-000090,58486360,2026-05-15,3168000,反映済み,,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Ux4DYAS
a0FRB00000Usthk2AB,MFIW-000054,54695329,2026-03-25,53900,反映済み,,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Ux4EYAS
a0FRB00000Ut0EN2AZ,MFIW-000122,60417633,2026-06-09,176000,反映済み,,001RB00001VTrvcYAD,a04RB00000kVL7cYAG,a0BRB00000ypw6H2AQ,a00RB000024Ux4FYAS
a0FRB00000UtCfV2AV,MFIW-000027,54361336,2026-03-19,973500,反映済み,,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,a0BRB00000ypw662AA,a00RB000024Ux4GYAS
a0FRB00000UtJtZ2AV,MFIW-000020,53082772,2026-03-02,56940,反映済み,,001RB00001VcyFLYAZ,a04RB00000kVL7MYAW,a0BRB00000ypw5t2AA,a00RB000024Ux4HYAS
a0FRB00000UtJta2AF,MFIW-000021,53100155,2026-03-02,1670000,反映済み,,001RB00001VTqkoYAD,a04RB00000kVL7eYAG,a0BRB00000ypw6J2AQ,a00RB000024Ux4IYAS
a0FRB00000UtJvB2AV,MFIW-000022,53825605,2026-03-13,12870000,反映済み,,001RB00001VcyFMYAZ,a04RB00000kVL7XYAW,a0BRB00000ypw6A2AQ,a00RB000024Ux4JYAS
a0FRB00000UtJwn2AF,MFIW-000023,54237366,2026-03-18,70400,反映済み,,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,a00RB000024Ux4KYAS
a0FRB00000UtJwo2AF,MFIW-000024,54237761,2026-03-18,508200,反映済み,,001RB00001VTqlHYAT,a04RB00000kUANiYAO,a0BRB00000ynb5d2AA,a00RB000024Ux4LYAS
a0FRB00000UtJwp2AF,MFIW-000025,54238142,2026-03-18,14080,反映済み,,001RB00001VTqleYAD,a04RB00000kUAObYAO,a0BRB00000ynb6W2AQ,a00RB000024Ux4MYAS
a0FRB00000UtJwq2AF,MFIW-000026,54240654,2026-03-18,52800,反映済み,,001RB00001VTrtrYAD,a04RB00000kUAOEYA4,a0BRB00000ynb692AA,a00RB000024Ux4NYAS
a0FRB00000UtJyP2AV,MFIW-000028,56091285,2026-04-09,132000,反映済み,,001RB00001VcyFNYAZ,a04RB00000kVL7dYAG,a0BRB00000ypw6I2AQ,a00RB000024Ux4OYAS
a0FRB00000UtJyQ2AV,MFIW-000029,56133730,2026-04-09,145200,反映済み,,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,a00RB000024Ux4PYAS
a0FRB00000UtK9h2AF,MFIW-000030,54067648,2026-03-20,229900,反映済み,,001RB00001VTqUVYA1,a04RB00000kVL7iYAG,a0BRB00000ypw6O2AQ,a00RB000024Ux4QYAS
a0FRB00000UtK9i2AF,MFIW-000031,54067657,2026-03-20,121000,反映済み,,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,a00RB000024Ux4RYAS
a0FRB00000UtK9j2AF,MFIW-000032,54067660,2026-03-20,12100,反映済み,,001RB00001VTrGkYAL,a04RB00000kUAQAYA4,a0BRB00000ynn622AA,a00RB000024Ux4SYAS
a0FRB00000UtK9k2AF,MFIW-000033,54067663,2026-03-20,44000,反映済み,,001RB00001VTqxsYAD,a04RB00000kUAOfYAO,a0BRB00000ynb6a2AA,a00RB000024Ux4TYAS
