"Category","Issue","Id","Name","ContractName","Account","Status","Start","End","MRR","Payment","Update","BillingSource","AutoFreee"
"MRR","有効契約のMRRが空","a04RB00000kUANnYAO","CN-00000013","studio55","001RB00001VTrOjYAL","Activated","2024-09-01","","","Invoice","月","","false"
"MRR","有効契約のMRRが空","a04RB00000nA94DYAS","CN-00000230","【着手金】AIシミュレーション開発・保守費⽤（2026年6⽉-2027年3⽉）","001RB00001VTqidYAD","Activated","2026-06-29","","","Invoice","月","Freee","false"
"MRR","有効契約のMRRが空","a04RB00000nRI1RYAW","CN-00000240","矢作建設_契約変更","001RB00001VTqlfYAD","Activated","2026-08-01","","","","年","Salesforce","false"
"関連不足","有効契約に請求がない","a04RB00000kUANnYAO","CN-00000013","studio55","001RB00001VTrOjYAL","Activated","2024-09-01","","","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUANqYAO","CN-00000016","東急リゾーツ＆ステイ","001RB00001VTrkXYAT","Activated","2024-11-01","","44000","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUANtYAO","CN-00000019","ジェイアール北海道エンジニアリング株式会社(大塚商会)","001RB00001VTr0TYAT","Activated","2024-12-01","","6400","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUANuYAO","CN-00000020","リリカラ(大塚商会)","001RB00001VTr1PYAT","Activated","2024-11-01","","12800","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUANxYAO","CN-00000023","九州旅客鉄道株式会社　工事部施設課","001RB00001VTrOlYAL","Activated","2024-12-01","","8000","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAO6YAO","CN-00000032","佐伯綜合建設(大塚商会)","001RB00001VTtIQYA1","Activated","2025-02-01","","6400","Invoice","年","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAO9YAO","CN-00000035","矢作建設工業株式会社","001RB00001VTqlfYAD","Activated","2025-04-01","","55000","Invoice","年","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAOIYA4","CN-00000044","九州旅客鉄道株式会社　博多設備区","001RB00001VTrOlYAL","Activated","2025-05-01","","8000","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAOKYA4","CN-00000046","アイリスオーヤマ（ストアデザイン部）","001RB00001VTqkwYAD","Activated","2025-06-01","","44000","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAOLYA4","CN-00000047","アイリスオーヤマ（空間デザイン部）","001RB00001VTqkwYAD","Activated","2025-06-01","","11000","Invoice","月","","false"
"関連不足","有効契約に請求がない","a04RB00000kUAONYA4","CN-00000049","九州旅客鉄道株式会社　開発工事部","001RB00001VTrOlYAL","Activated","2025-06-01","","8000","Invoice","月","","false"
