"Id","Name","Account","Issues","Periods","Monthly","Invoices","Works","Ready","Review","Imported","WorkNames"
"a04RB00000kUANnYAO","CN-00000013","001RB00001VTrOjYAL","有効契約のMRRが空;有効契約に請求がない","3","9","0","0","0","0","0",""
"a04RB00000kUANqYAO","CN-00000016","001RB00001VTrkXYAT","有効契約に請求がない","2","22","0","0","0","0","0",""
"a04RB00000kUANtYAO","CN-00000019","001RB00001VTr0TYAT","有効契約に請求がない","2","9","0","0","0","0","0",""
"a04RB00000kUANuYAO","CN-00000020","001RB00001VTr1PYAT","有効契約に請求がない","2","24","0","0","0","0","0",""
"a04RB00000kUANxYAO","CN-00000023","001RB00001VTrOlYAL","有効契約に請求がない","2","21","0","0","0","0","0",""
"a04RB00000kUAO6YAO","CN-00000032","001RB00001VTtIQYA1","有効契約に請求がない","1","24","0","0","0","0","0",""
"a04RB00000kUAO9YAO","CN-00000035","001RB00001VTqlfYAD","有効契約に請求がない;有効契約に当月の契約月次明細がない","1","14","0","0","0","0","0",""
"a04RB00000kUAOaYAO","CN-00000062","001RB00001VTqgBYAT","有効契約に請求がない","1","12","0","0","0","0","0",""
"a04RB00000kUAOIYA4","CN-00000044","001RB00001VTrOlYAL","有効契約に請求がない","2","16","0","0","0","0","0",""
"a04RB00000kUAOKYA4","CN-00000046","001RB00001VTqkwYAD","有効契約に請求がない","2","15","0","0","0","0","0",""
"a04RB00000kUAOkYAO","CN-00000072","001RB00001VTqnMYAT","有効契約に請求がない","1","18","0","0","0","0","0",""
"a04RB00000kUAOLYA4","CN-00000047","001RB00001VTqkwYAD","有効契約に請求がない","2","15","0","0","0","0","0",""
"a04RB00000kUAONYA4","CN-00000049","001RB00001VTrOlYAL","有効契約に請求がない","2","15","0","0","0","0","0",""
"a04RB00000kUAOOYA4","CN-00000050","001RB00001VTrHVYA1","有効契約に請求がない","2","21","0","0","0","0","0",""
"a04RB00000kUAOoYAO","CN-00000076","001RB00001VTqxQYAT","有効契約に請求がない","2","7","0","0","0","0","0",""
"a04RB00000kUAOrYAO","CN-00000079","001RB00001VTqnMYAT","有効契約に請求がない","1","18","0","0","0","0","0",""
"a04RB00000kUAOsYAO","CN-00000080","001RB00001VTqxQYAT","有効契約に請求がない","2","8","0","0","0","0","0",""
"a04RB00000kUAOVYA4","CN-00000057","001RB00001VTqeCYAT","有効契約に請求がない","2","11","0","0","0","0","0",""
"a04RB00000kUAOvYAO","CN-00000083","001RB00001VTCYEYA5","有効契約に請求がない","2","5","0","0","0","0","0",""
"a04RB00000kUAOwYAO","CN-00000084","001RB00001VTCYEYA5","有効契約に請求がない","2","5","0","0","0","0","0",""
"a04RB00000kUAOXYA4","CN-00000059","001RB00001VTqgBYAT","有効契約に請求がない","2","18","0","0","0","0","0",""
"a04RB00000kUAOYYA4","CN-00000060","001RB00001VTqgBYAT","有効契約に請求がない","1","12","0","0","0","0","0",""
"a04RB00000kUAOZYA4","CN-00000061","001RB00001VTqgBYAT","有効契約に請求がない","1","18","0","0","0","0","0",""
"a04RB00000kUAP2YAO","CN-00000090","001RB00001VTrvXYAT","有効契約に請求がない","1","12","0","0","0","0","0",""
"a04RB00000kUAP8YAO","CN-00000096","001RB00001VTrvcYAD","有効契約に請求がない","2","5","0","0","0","0","0",""
"a04RB00000kUAP9YAO","CN-00000097","001RB00001VTrvcYAD","有効契約に請求がない","2","5","0","0","0","0","0",""
"a04RB00000kUAPCYA4","CN-00000100","001RB00001VTrwFYAT","有効契約に請求がない","1","12","0","0","0","0","0",""
"a04RB00000kUAPDYA4","CN-00000101","001RB00001VTrwFYAT","有効契約に請求がない","1","12","0","0","0","0","0",""
"a04RB00000kUAPgYAO","CN-00000130","001RB00001VTqYlYAL","有効契約に請求がない","2","19","0","0","0","0","0",""
"a04RB00000kUAPKYA4","CN-00000108","001RB00001VTruAYAT","有効契約に請求がない","2","3","0","0","0","0","0",""
"a04RB00000kUAPLYA4","CN-00000109","001RB00001VTrnrYAD","有効契約に請求がない","2","3","0","0","0","0","0",""
"a04RB00000kUAPMYA4","CN-00000110","001RB00001VTruZYAT","有効契約に請求がない","2","3","0","0","0","0","0",""
"a04RB00000kUAPZYA4","CN-00000123","001RB00001VTqaIYAT","有効契約に当月の契約月次明細がない","1","8","1","1","0","0","1","MFIW-000478"
"a04RB00000nA94DYAS","CN-00000230","001RB00001VTqidYAD","有効契約のMRRが空;有効契約に契約月次明細が1件もない;有効契約に契約期間がない","0","0","1","0","0","0","0",""
"a04RB00000nCmpRYAS","CN-00000233","001RB00001VTrRuYAL","有効契約に請求がない","2","2","0","1","0","0","1","MFIW-000406"
"a04RB00000nCmpSYAS","CN-00000234","001RB00001b3qNeYAI","有効契約に請求がない","2","2","0","1","0","0","1","MFIW-000407"
"a04RB00000nRI1RYAW","CN-00000240","001RB00001VTqlfYAD","有効契約のMRRが空;有効契約に請求がない;有効契約に契約月次明細が1件もない","1","0","0","0","0","0","0",""
"a04RB00000nS9IgYAK","CN-00000243","001RB00001VTrvxYAD","有効契約に請求がない","1","1","0","1","0","0","1","MFIW-000485"
