Id,ProductMaster__c,MRR_Target__c,ARR_Target__c,RevenueAmount__c
a03RB00001NswguYAB,a0CRB0000CcXZ6Q2QW,true,true,24000
a03RB00001NswgvYAB,a0CRB0000CcXZ6Q2QW,true,true,24000
a03RB00001NswgwYAB,a0CRB0000CcXZ6Q2QW,true,true,24000
a03RB00001NswgxYAB,a0CRB0000CcXZ6Q2QW,true,true,24000
a03RB00001NswgyYAB,a0CRB0000CcXZ6Q2QW,true,true,24000
a03RB00001NswgzYAB,a0CRB0000CcXZ6Q2QW,true,true,24000
a03RB00001Nswh0YAB,a0CRB0000CcXZ6Q2QW,true,true,24000
a03RB00001Nswh1YAB,a0CRB0000CcXZ6Q2QW,true,true,24000
a03RB00001Nswh2YAB,a0CRB0000CcXZ6Q2QW,true,true,24000
a03RB00001Nswh3YAB,a0CRB0000CcXZ6Q2QW,true,true,24000
a03RB00001Nswh4YAB,a0CRB0000CcXZ6Q2QW,true,true,24000
