"Severity","Category","Object","RecordId","RecordName","Issue","Evidence","RecommendedAction"
"High","MRR","Contract__c","a04RB00000kUANnYAO","CN-00000013","有効契約のMRRが空","Status=Activated","請求明細または契約内容を根拠にMRRを設定する"
"High","MRR","Contract__c","a04RB00000nA94DYAS","CN-00000230","有効契約のMRRが空","Status=Activated","請求明細または契約内容を根拠にMRRを設定する"
"High","MRR","Contract__c","a04RB00000nRI1RYAW","CN-00000240","有効契約のMRRが空","Status=Activated","請求明細または契約内容を根拠にMRRを設定する"
"High","ステータス矛盾","Contract__c","a04RB00000kUAO9YAO","CN-00000035","終了済み日付だが有効契約","End=2026-07-30","更新契約の有無を確認し、終了・更新予定・有効のいずれかへ整理する"
"High","関連不足","Contract__c","a04RB00000kUANnYAO","CN-00000013","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUANqYAO","CN-00000016","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUANtYAO","CN-00000019","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUANuYAO","CN-00000020","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUANxYAO","CN-00000023","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAO6YAO","CN-00000032","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAO9YAO","CN-00000035","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAOIYA4","CN-00000044","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAOKYA4","CN-00000046","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAOLYA4","CN-00000047","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAONYA4","CN-00000049","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAOOYA4","CN-00000050","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAOVYA4","CN-00000057","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAOXYA4","CN-00000059","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAOYYA4","CN-00000060","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAOZYA4","CN-00000061","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAOaYAO","CN-00000062","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAOkYAO","CN-00000072","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAOoYAO","CN-00000076","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAOrYAO","CN-00000079","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAOsYAO","CN-00000080","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAOvYAO","CN-00000083","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAOwYAO","CN-00000084","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAP2YAO","CN-00000090","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAP8YAO","CN-00000096","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAP9YAO","CN-00000097","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAPCYA4","CN-00000100","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAPDYA4","CN-00000101","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAPKYA4","CN-00000108","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAPLYA4","CN-00000109","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAPMYA4","CN-00000110","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000kUAPgYAO","CN-00000130","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000nA94DYAS","CN-00000230","有効契約に契約月次明細が1件もない","Monthly count=0","契約期間と商品を確認して月次明細を生成する"
"High","関連不足","Contract__c","a04RB00000nA94DYAS","CN-00000230","有効契約に契約期間がない","Period count=0","契約開始日・終了日から契約期間を作成する"
"High","関連不足","Contract__c","a04RB00000nCmpRYAS","CN-00000233","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000nCmpSYAS","CN-00000234","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000nRI1RYAW","CN-00000240","有効契約に契約月次明細が1件もない","Monthly count=0","契約期間と商品を確認して月次明細を生成する"
"High","関連不足","Contract__c","a04RB00000nRI1RYAW","CN-00000240","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","関連不足","Contract__c","a04RB00000nS9IgYAK","CN-00000243","有効契約に請求がない","Invoice count=0","freee請求の未取込または契約紐付けを確認する"
"High","期間重複","ContractPeriod__c","a0BRB00000ynb5i2AA","CP-00000011","同一契約の契約期間が重複","Previous=CP-00000115, previous end=2024-09-30, current start=2024-09-01","更新期間の境界を修正または重複期間を統合する"
"High","期間重複","ContractPeriod__c","a0BRB00000ynn5I2AQ","CP-00000113","同一契約の契約期間が重複","Previous=CP-00000010, previous end=2024-10-31, current start=2024-10-01","更新期間の境界を修正または重複期間を統合する"
"High","期間重複","ContractPeriod__c","a0BRB00000ynn5Z2AQ","CP-00000130","同一契約の契約期間が重複","Previous=CP-00000131, previous end=2025-01-31, current start=2025-01-01","更新期間の境界を修正または重複期間を統合する"
"High","期間重複","ContractPeriod__c","a0BRB000010uujt2AA","CP-00000212","同一契約の契約期間が重複","Previous=CP-00000017, previous end=2026-10-30, current start=2026-08-01","更新期間の境界を修正または重複期間を統合する"
"High","期間重複","ContractPeriod__c","a0BRB000010uuju2AA","CP-00000213","同一契約の契約期間が重複","Previous=CP-00000018, previous end=2026-10-30, current start=2026-08-01","更新期間の境界を修正または重複期間を統合する"
"High","期間重複","ContractPeriod__c","a0BRB000010uuk12AA","CP-00000220","同一契約の契約期間が重複","Previous=CP-00000373, previous end=2026-06-30, current start=2026-06-01","更新期間の境界を修正または重複期間を統合する"
"High","期間重複","ContractPeriod__c","a0BRB000010uuk72AA","CP-00000226","同一契約の契約期間が重複","Previous=CP-00000047, previous end=2027-03-31, current start=2026-08-01","更新期間の境界を修正または重複期間を統合する"
"High","期間重複","ContractPeriod__c","a0BRB000010uukD2AQ","CP-00000232","同一契約の契約期間が重複","Previous=CP-00000057, previous end=2027-03-31, current start=2026-08-01","更新期間の境界を修正または重複期間を統合する"
"High","期間重複","ContractPeriod__c","a0BRB000010uukh2AA","CP-00000262","同一契約の契約期間が重複","Previous=CP-00000107, previous end=2027-03-31, current start=2026-08-01","更新期間の境界を修正または重複期間を統合する"
"High","決済ステータス矛盾","Invoice__c","a00RB000024Ux4IYAS","INV-0000000011","決済済みだが金額が完済状態ではない","Paid=1837000, Unpaid=0, Invoice=1670000","freeeから決済ステータスと金額を再同期する"
"High","決済ステータス矛盾","Invoice__c","a00RB000024Ux4qYAC","INV-0000000045","決済済みだが金額が完済状態ではない","Paid=2057000, Unpaid=0, Invoice=1870000","freeeから決済ステータスと金額を再同期する"
"High","月次不足","Contract__c","a04RB00000kUAO9YAO","CN-00000035","有効契約に当月の契約月次明細がない","Expected month=2026/08","当月の契約対象を確認し月次明細を生成する"
"High","月次不足","Contract__c","a04RB00000kUAPZYA4","CN-00000123","有効契約に当月の契約月次明細がない","Expected month=2026/08","当月の契約対象を確認し月次明細を生成する"
"High","参照不一致","ContractLineItem__c","a03RB00001VLhyrYAD","a03RB00001VLhyr","契約期間の親契約と契約管理が異なる","PeriodContract=a04RB00000kUAPEYA4, Master=a04RB00000kVL7KYAW","正しい契約期間へ付け替える"
"High","参照不一致","Invoice__c","a00RB00002BahLfYAJ","INV-0000000410","契約期間の親契約と請求の親契約が異なる","PeriodContract=a04RB00000kUAPEYA4, InvoiceContract=a04RB00000kVL7KYAW","正しい契約期間へ付け替える"
"High","参照不足","Invoice__c","a00RB000023liu7YAA","INV-0000000003","親契約が未設定","Account=001RB00001UvdpFYAR, Billing=2026-06-19","取引先・請求明細・請求月から契約を特定する"
"High","取引先不一致","Invoice__c","a00RB00002B5oL5YAJ","INV-0000000383","請求と契約管理の取引先が異なる","Invoice=001RB00001br9KPYAY, Contract=001RB00001VTrHrYAL","正しい契約または取引先へ付け替える"
"High","重複","ContractLineItem__c","a03RB00001RIRErYAP","47内装株式会社_2026/06","同一契約・対象月・商品で月次明細が重複","Key=a04RB00000kUAO1YAO|2026/06|a0CRB0000CcXZ6T2QW, Count=2","請求・作成元を確認し重複を統合する"
