"Severity","Category","Object","Count"
"Medium","商品不足","ContractLineItem__c","1348"
"High","重複","ContractLineItem__c","170"
"High","請求月不一致","ContractLineItem__c","166"
"High","契約必須情報","Contract__c","134"
"Medium","親子日付不一致","ContractPeriod__c","56"
"High","関連不足","Contract__c","39"
"High","参照不足","ContractLineItem__c","12"
"High","期間重複","ContractPeriod__c","9"
"High","MRR","Contract__c","8"
"Medium","参照不足","Invoice__c","4"
"High","決済ステータス矛盾","Invoice__c","2"
"High","入金金額不一致","Invoice__c","2"
"High","月次不足","Contract__c","2"
"High","明細不足","Invoice__c","1"
"Medium","商品不足","InvoiceLine__c","1"
"High","参照不一致","Invoice__c","1"
"High","参照不一致","ContractLineItem__c","1"
"High","参照不足","Invoice__c","1"
"High","取引先不一致","Invoice__c","1"
