"Id","Name","Month","Amount","Invoice","ProductMaster","ProductName","Rule"
"a03RB00001NswVSYAZ","東急株式会社_2026/05","2026/05","11000","a00RB00002Am2B3YAJ","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswX4YAJ","ムゲンエステート_2026/03","2026/03","8000","a00RB00002Am2BJYAZ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswX5YAJ","ムゲンエステート_2026/04","2026/04","8000","a00RB00002Am2AZYAZ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswX6YAJ","ムゲンエステート_2026/05","2026/05","8000","a00RB00002Am2B2YAJ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswZIYAZ","株式会社TRIAD_2026/03","2026/03","8000","a00RB00002Am2BIYAZ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswZJYAZ","株式会社TRIAD_2026/04","2026/04","8000","a00RB00002Am2BGYAZ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswZKYAZ","株式会社TRIAD_2026/05","2026/05","8000","a00RB00002Am2B1YAJ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001Nswa0YAB","戸田建設(設計部:月額)_2026/04","2026/04","55000","a00RB00002Am2AbYAJ","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001Nswa1YAB","戸田建設(設計部:月額)_2026/05","2026/05","55000","a00RB00002Am2B4YAJ","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswaEYAR","47内装株式会社_2026/03","2026/03","55000","a00RB00002Am2BHYAZ","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswaFYAR","47内装株式会社_2026/04","2026/04","55000","a00RB00002Am2BFYAZ","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswaGYAR","47内装株式会社_2026/05","2026/05","55000","a00RB00002Am2B0YAJ","a0CRB0000CcXZ6T2QW","[OLD] Rendery Enterpriseプラン(2025年9月まで)","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswaSYAR","ANAスカイビルサービス株式会社 ※郵送希望_2026/03","2026/03","16000","a00RB00002Am2AYYAZ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
"a03RB00001NswaTYAR","ANAスカイビルサービス株式会社 ※郵送希望_2026/04","2026/04","16000","a00RB00002Am2BEYAZ","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","同一契約・同一取引先・請求月差1か月以内・明細金額一致・商品候補1件"
