Id,ProductMaster__c,MRR_Target__c,ARR_Target__c
a03RB00001NswVSYAZ,a0CRB0000CcXZ6T2QW,true,true
a03RB00001NswX4YAJ,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswX5YAJ,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswX6YAJ,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswZIYAZ,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswZJYAZ,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswZKYAZ,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001Nswa0YAB,a0CRB0000CcXZ6T2QW,true,true
a03RB00001Nswa1YAB,a0CRB0000CcXZ6T2QW,true,true
a03RB00001NswaEYAR,a0CRB0000CcXZ6T2QW,true,true
a03RB00001NswaFYAR,a0CRB0000CcXZ6T2QW,true,true
a03RB00001NswaGYAR,a0CRB0000CcXZ6T2QW,true,true
a03RB00001NswaSYAR,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswaTYAR,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswaUYAR,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswbUYAR,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswbVYAR,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswbWYAR,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswcVYAR,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswcWYAR,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswcXYAR,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NsweaYAB,a0CRB0000CcXZ6T2QW,true,true
a03RB00001NswebYAB,a0CRB0000CcXZ6T2QW,true,true
a03RB00001NswecYAB,a0CRB0000CcXZ6T2QW,true,true
a03RB00001Nswh7YAB,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001Nswh9YAB,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswjAYAR,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswjBYAR,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswjgYAB,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswjhYAB,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswkLYAR,a0CRB0000CcXZ6Q2QW,true,true
a03RB00001NswlgYAB,a0CRB0000CcXZ6i2QG,true,true
a03RB00001NswlhYAB,a0CRB0000CcXZ6i2QG,true,true
a03RB00001NswliYAB,a0CRB0000CcXZ6i2QG,true,true
a03RB00001NswmKYAR,a0CRB0000CcXZ6i2QG,true,true
a03RB00001NswmLYAR,a0CRB0000CcXZ6i2QG,true,true
a03RB00001NswmMYAR,a0CRB0000CcXZ6i2QG,true,true
a03RB00001Nswn4YAB,a0CRB0000CcXZ6i2QG,true,true
a03RB00001Nswn5YAB,a0CRB0000CcXZ6i2QG,true,true
a03RB00001NswomYAB,a0CRB0000CcXZ6i2QG,true,true
a03RB00001NswonYAB,a0CRB0000CcXZ6i2QG,true,true
a03RB00001NswooYAB,a0CRB0000CcXZ6i2QG,true,true
a03RB00001NswpEYAR,a0CRB0000CcXZ6i2QG,true,true
a03RB00001NswpFYAR,a0CRB0000CcXZ6i2QG,true,true
a03RB00001NswpGYAR,a0CRB0000CcXZ6i2QG,true,true
a03RB00001NswrkYAB,a0CRB0000CcXZ6i2QG,true,true
a03RB00001NswrlYAB,a0CRB0000CcXZ6i2QG,true,true
a03RB00001NswruYAB,a0CRB0000CcXZ6i2QG,true,true
a03RB00001NswrvYAB,a0CRB0000CcXZ6i2QG,true,true
a03RB00001NswsFYAR,a0CRB0000CcXZ6j2QG,true,true
a03RB00001NswsGYAR,a0CRB0000CcXZ6j2QG,true,true
a03RB00001NswsHYAR,a0CRB0000CcXZ6j2QG,true,true
