Id,RevenueAmount__c
a03RB00001NswVSYAZ,11000
a03RB00001NswX4YAJ,8000
a03RB00001NswX5YAJ,8000
a03RB00001NswX6YAJ,8000
a03RB00001NswZIYAZ,8000
a03RB00001NswZJYAZ,8000
a03RB00001NswZKYAZ,8000
a03RB00001Nswa0YAB,55000
a03RB00001Nswa1YAB,55000
a03RB00001NswaEYAR,55000
a03RB00001NswaFYAR,55000
a03RB00001NswaGYAR,55000
a03RB00001NswaSYAR,16000
a03RB00001NswaTYAR,16000
a03RB00001NswaUYAR,16000
a03RB00001NswbUYAR,8000
a03RB00001NswbVYAR,8000
a03RB00001NswbWYAR,8000
a03RB00001NswcVYAR,8000
a03RB00001NswcWYAR,8000
a03RB00001NswcXYAR,8000
a03RB00001NsweaYAB,55000
a03RB00001NswebYAB,55000
a03RB00001NswecYAB,55000
a03RB00001Nswh7YAB,16000
a03RB00001Nswh9YAB,16000
a03RB00001NswjAYAR,40000
a03RB00001NswjBYAR,40000
a03RB00001NswjgYAB,8000
a03RB00001NswjhYAB,8000
a03RB00001NswkLYAR,8000
a03RB00001NswlgYAB,11000
a03RB00001NswlhYAB,11000
a03RB00001NswliYAB,11000
a03RB00001NswmKYAR,11000
a03RB00001NswmLYAR,11000
a03RB00001NswmMYAR,11000
a03RB00001Nswn4YAB,33000
a03RB00001Nswn5YAB,33000
a03RB00001NswomYAB,11000
a03RB00001NswonYAB,11000
a03RB00001NswooYAB,11000
a03RB00001NswpEYAR,11000
a03RB00001NswpFYAR,11000
a03RB00001NswpGYAR,11000
a03RB00001NswrkYAB,11000
a03RB00001NswrlYAB,11000
a03RB00001NswruYAB,11000
a03RB00001NswrvYAB,11000
a03RB00001NswsFYAR,55000
a03RB00001NswsGYAR,55000
a03RB00001NswsHYAR,55000
