Id,Name,MasterContract__c,Month__c,ProductMaster__c,ProductMaster__r.Name,Total__c,RevenueAmount__c,RelatedInvoice__c,CreatedDate
a03RB00001NswgCYAR,大塚商会（大和財宅）_2025/09,a04RB00000kUAObYAO,2025/09,a0CRB0000CcXZ6R2QW,[代理販売20%] Rendery Proプラン,88000,88000,a00RB00002B5oLLYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswgDYAR,大塚商会（大和財宅）_2025/10,a04RB00000kUAObYAO,2025/10,a0CRB0000CcXZ6R2QW,[代理販売20%] Rendery Proプラン,88000,88000,a00RB00002B5oLLYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswgEYAR,大塚商会（大和財宅）_2025/11,a04RB00000kUAObYAO,2025/11,a0CRB0000CcXZ6R2QW,[代理販売20%] Rendery Proプラン,88000,88000,a00RB00002B5oLLYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswgFYAR,大塚商会（大和財宅）_2025/12,a04RB00000kUAObYAO,2025/12,a0CRB0000CcXZ6R2QW,[代理販売20%] Rendery Proプラン,88000,88000,a00RB00002B5oLLYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswgGYAR,大塚商会（大和財宅）_2026/01,a04RB00000kUAObYAO,2026/01,a0CRB0000CcXZ6R2QW,[代理販売20%] Rendery Proプラン,88000,88000,a00RB00002B5oLLYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswgHYAR,大塚商会（大和財宅）_2026/02,a04RB00000kUAObYAO,2026/02,a0CRB0000CcXZ6R2QW,[代理販売20%] Rendery Proプラン,88000,88000,a00RB00002B5oLLYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswgIYAR,大塚商会（大和財宅）_2026/03,a04RB00000kUAObYAO,2026/03,a0CRB0000CcXZ6R2QW,[代理販売20%] Rendery Proプラン,88000,88000,a00RB00002B5oLLYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswgJYAR,大塚商会（大和財宅）_2026/04,a04RB00000kUAObYAO,2026/04,a0CRB0000CcXZ6R2QW,[代理販売20%] Rendery Proプラン,88000,88000,a00RB00002B5oLLYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswgKYAR,大塚商会（大和財宅）_2026/05,a04RB00000kUAObYAO,2026/05,a0CRB0000CcXZ6R2QW,[代理販売20%] Rendery Proプラン,88000,88000,a00RB00002B5oLLYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswgLYAR,大塚商会（大和財宅）_2026/06,a04RB00000kUAObYAO,2026/06,a0CRB0000CcXZ6R2QW,[代理販売20%] Rendery Proプラン,88000,88000,a00RB00002B5oLLYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswgMYAR,大塚商会（大和財宅）_2026/07,a04RB00000kUAObYAO,2026/07,a0CRB0000CcXZ6R2QW,[代理販売20%] Rendery Proプラン,88000,88000,a00RB00002B5oLLYAZ,2026-06-21T16:13:56.000+0000
a03RB00001VUaocYAD,a03RB00001VUaoc,a04RB00000kUAObYAO,2026/07,a0CRB0000CcXZ6W2QW,[代理販売20%] Rendery Enterpriseプラン,120000,120000,a00RB00002B5oLLYAZ,2026-07-28T04:58:43.000+0000
a03RB00001NswgNYAR,大塚商会（大和財宅）_2026/08,a04RB00000kUAObYAO,2026/08,a0CRB0000CcXZ6R2QW,[代理販売20%] Rendery Proプラン,88000,88000,a00RB00002B5oLLYAZ,2026-06-21T16:13:56.000+0000
