"Contract","Name","Category","Plan","Known","Candidates","Product","Amounts"
"a04RB00000kUANhYAO","CN-00000007","Rendery","Pro","2","19","Rendery Proプラン","8000"
"a04RB00000kUAPWYA4","CN-00000120","","","3","18","knock knock AI Basicプラン(50クレジット)","11000"
"a04RB00000kUANmYAO","CN-00000012","Rendery","Pro","6","18","Rendery Proプラン","8000"
"a04RB00000kUANgYAO","CN-00000006","Rendery","Enterprise","5","18","[OLD] Rendery Enterpriseプラン(2025年9月まで)","11000"
"a04RB00000kUANwYAO","CN-00000022","Rendery","Pro","6","15","Rendery Proプラン","8000"
"a04RB00000kUAO2YAO","CN-00000028","Rendery","Pro","6","12","Rendery Proプラン","16000"
"a04RB00000kUAO7YAO","CN-00000033","Rendery","Pro","6","12","Rendery Proプラン","8000"
"a04RB00000kUAOFYA4","CN-00000041","Rendery","Pro","6","11","Rendery Proプラン","8000"
"a04RB00000kUAOiYAO","CN-00000070","","","1","11","Rendery Proプラン","24000"
"a04RB00000kUAO1YAO","CN-00000027","Rendery","Enterprise","6","10","[OLD] Rendery Enterpriseプラン(2025年9月まで)","55000"
"a04RB00000kUAQ6YAO","CN-00000156","knock knock AI","Pro","6","7","knock knock AI Proプラン(300クレジット)","55000"
"a04RB00000kUAPdYAO","CN-00000127","knock knock AI","Enterprise","1","7","[月払] knock knock AI Enterpriseプラン 1100クレジット","159500"
"a04RB00000kUAORYA4","CN-00000053","Rendery","Enterprise","6","7","[OLD] Rendery Enterpriseプラン(2025年9月まで)","55000"
"a04RB00000kUAPIYA4","CN-00000106","Rendery","Pro","3","2","Rendery Proプラン","32000"
"a04RB00000kUAP1YAO","CN-00000089","Rendery","Pro","5","1","Rendery Proプラン","40000"
"a04RB00000kUAPFYA4","CN-00000103","Rendery","Pro","3","1","Rendery Proプラン","8000"
"a04RB00000kUAPHYA4","CN-00000105","Rendery","Pro","4","1","Rendery Proプラン","8000"
"a04RB00000kUAPBYA4","CN-00000099","Rendery","Pro","5","1","Rendery Proプラン","8000"
