Id,Name,Status__c,MRR__c,ARR__c
a04RB00000n5JdmYAE,CN-00000204,Activated,44000,
a04RB00000n5JdnYAE,CN-00000205,Activated,8000,
a04RB00000n5JdoYAE,CN-00000206,Activated,8000,
a04RB00000n5JdpYAE,CN-00000207,Activated,195000,
a04RB00000n5JdqYAE,CN-00000208,Activated,11000,
a04RB00000n5JdrYAE,CN-00000209,Activated,11000,
a04RB00000n5JdtYAE,CN-00000211,Activated,8000,
a04RB00000n5JduYAE,CN-00000212,Activated,16000,
a04RB00000n5JdvYAE,CN-00000213,Activated,180000,
a04RB00000n5JdwYAE,CN-00000214,Activated,30000,
a04RB00000n5JdxYAE,CN-00000215,Activated,8000,
a04RB00000n5JdyYAE,CN-00000216,Activated,150000,
a04RB00000n5JdzYAE,CN-00000217,Activated,75000,
a04RB00000n5Je0YAE,CN-00000218,Activated,11000,
a04RB00000n5Je1YAE,CN-00000219,Activated,55000,
a04RB00000n5Je2YAE,CN-00000220,Activated,8000,
a04RB00000n5Je3YAE,CN-00000221,Activated,48000,
a04RB00000n5Je4YAE,CN-00000222,Activated,77000,
a04RB00000n5Je5YAE,CN-00000223,Activated,11000,
a04RB00000n5Je6YAE,CN-00000224,Activated,11000,
a04RB00000n5Je7YAE,CN-00000225,Activated,132000,
a04RB00000n5Je8YAE,CN-00000226,Activated,48000,
a04RB00000n5Je9YAE,CN-00000227,Activated,24000,
