Id,Name,MRR__c,ARR__c,ContractUpdate__c
a04RB00000kUANdYAO,CN-00000003,64000,768000,月
a04RB00000kUANgYAO,CN-00000006,11000,132000,月
a04RB00000kUANhYAO,CN-00000007,8000,96000,年
a04RB00000kUANiYAO,CN-00000008,550000,6600000,月
a04RB00000kUANjYAO,CN-00000009,8000,96000,月
a04RB00000kUANmYAO,CN-00000012,8000,96000,月
a04RB00000kUANqYAO,CN-00000016,44000,528000,月
a04RB00000kUANtYAO,CN-00000019,6400,76800,月
a04RB00000kUANuYAO,CN-00000020,12800,153600,月
a04RB00000kUANwYAO,CN-00000022,8000,96000,月
a04RB00000kUANxYAO,CN-00000023,8000,96000,月
a04RB00000kUAO0YAO,CN-00000026,55000,660000,月
a04RB00000kUAO1YAO,CN-00000027,55000,660000,月
a04RB00000kUAO2YAO,CN-00000028,16000,192000,月
a04RB00000kUAO6YAO,CN-00000032,6400,76800,年
a04RB00000kUAO7YAO,CN-00000033,8000,96000,月
a04RB00000kUAO9YAO,CN-00000035,55000,660000,年
a04RB00000kUAOAYA4,CN-00000036,165000,1980000,月
a04RB00000kUAOEYA4,CN-00000040,48000,576000,月
a04RB00000kUAOFYA4,CN-00000041,8000,96000,月
a04RB00000kUAOIYA4,CN-00000044,8000,96000,月
a04RB00000kUAOKYA4,CN-00000046,44000,528000,月
a04RB00000kUAOLYA4,CN-00000047,11000,132000,月
a04RB00000kUAONYA4,CN-00000049,8000,96000,月
a04RB00000kUAOOYA4,CN-00000050,8000,96000,月
a04RB00000kUAORYA4,CN-00000053,55000,660000,月
a04RB00000kUAOTYA4,CN-00000055,132000,1584000,月
a04RB00000kUAOUYA4,CN-00000056,8000,96000,月
a04RB00000kUAOVYA4,CN-00000057,16000,192000,月
a04RB00000kUAOXYA4,CN-00000059,98000,1176000,月
a04RB00000kUAOYYA4,CN-00000060,70000,840000,年
a04RB00000kUAOZYA4,CN-00000061,42000,504000,年
a04RB00000kUAOaYAO,CN-00000062,30000,360000,年
a04RB00000kUAObYAO,CN-00000063,88000,1056000,年
a04RB00000kUAOdYAO,CN-00000065,8000,96000,月
a04RB00000kUAOfYAO,CN-00000067,48000,576000,月
a04RB00000kUAOgYAO,CN-00000068,16000,192000,月
a04RB00000kUAOhYAO,CN-00000069,8000,96000,月
a04RB00000kUAOiYAO,CN-00000070,24000,288000,年
a04RB00000kUAOjYAO,CN-00000071,16000,192000,月
a04RB00000kUAOkYAO,CN-00000072,100000,1200000,年
a04RB00000kUAOlYAO,CN-00000073,70000,840000,年
a04RB00000kUAOnYAO,CN-00000075,70000,840000,年
a04RB00000kUAOoYAO,CN-00000076,150000,1800000,月
a04RB00000kUAOpYAO,CN-00000077,24000,288000,月
a04RB00000kUAOqYAO,CN-00000078,150000,1800000,年
a04RB00000kUAOrYAO,CN-00000079,30000,360000,年
a04RB00000kUAOsYAO,CN-00000080,100000,1200000,月
a04RB00000kUAOtYAO,CN-00000081,16000,192000,月
a04RB00000kUAOvYAO,CN-00000083,150000,1800000,月
a04RB00000kUAOwYAO,CN-00000084,30000,360000,月
a04RB00000kUAOxYAO,CN-00000085,80000,960000,年
a04RB00000kUAOyYAO,CN-00000086,16000,192000,月
a04RB00000kUAP0YAO,CN-00000088,75000,900000,月
a04RB00000kUAP1YAO,CN-00000089,40000,480000,月
a04RB00000kUAP2YAO,CN-00000090,70000,840000,年
a04RB00000kUAP3YAO,CN-00000091,8000,96000,月
a04RB00000kUAP4YAO,CN-00000092,16000,192000,月
a04RB00000kUAP5YAO,CN-00000093,75000,900000,月
a04RB00000kUAP6YAO,CN-00000094,75000,900000,月
a04RB00000kUAP7YAO,CN-00000095,8000,96000,月
a04RB00000kUAP8YAO,CN-00000096,180000,2160000,月
a04RB00000kUAP9YAO,CN-00000097,100000,1200000,月
a04RB00000kUAPAYA4,CN-00000098,8000,96000,月
a04RB00000kUAPBYA4,CN-00000099,8000,96000,月
a04RB00000kUAPCYA4,CN-00000100,42000,504000,年
a04RB00000kUAPDYA4,CN-00000101,98000,1176000,年
a04RB00000kUAPEYA4,CN-00000102,8000,96000,月
a04RB00000kUAPFYA4,CN-00000103,8000,96000,月
a04RB00000kUAPGYA4,CN-00000104,8000,96000,年
a04RB00000kUAPHYA4,CN-00000105,8000,96000,月
a04RB00000kUAPIYA4,CN-00000106,32000,384000,月
a04RB00000kUAPJYA4,CN-00000107,70000,840000,年
a04RB00000kUAPKYA4,CN-00000108,30000,360000,月
a04RB00000kUAPLYA4,CN-00000109,150000,1800000,月
a04RB00000kUAPMYA4,CN-00000110,8000,96000,月
a04RB00000kUAPNYA4,CN-00000111,8000,96000,年
a04RB00000kUAPOYA4,CN-00000112,84000,1008000,年
a04RB00000kUAPVYA4,CN-00000119,11000,132000,月
a04RB00000kUAPXYA4,CN-00000121,11000,132000,月
a04RB00000kUAPZYA4,CN-00000123,93500,1122000,年
a04RB00000kUAPbYAO,CN-00000125,33000,396000,月
a04RB00000kUAPgYAO,CN-00000130,11000,132000,月
a04RB00000kUAPiYAO,CN-00000132,55000,660000,月
a04RB00000kUAPjYAO,CN-00000133,11000,132000,月
a04RB00000kUAPlYAO,CN-00000135,11000,132000,月
a04RB00000kUAPnYAO,CN-00000137,11000,132000,月
a04RB00000kUAPxYAO,CN-00000147,11000,132000,月
a04RB00000kUAQ0YAO,CN-00000150,11000,132000,月
a04RB00000kUAQ2YAO,CN-00000152,11000,132000,月
a04RB00000kUAQ3YAO,CN-00000153,11000,132000,月
a04RB00000kUAQ6YAO,CN-00000156,55000,660000,月
a04RB00000kUAQ9YAO,CN-00000159,55000,660000,月
a04RB00000kUAQAYA4,CN-00000160,11000,132000,月
a04RB00000kUAQBYA4,CN-00000161,11000,132000,月
a04RB00000kUAQCYA4,CN-00000162,55000,660000,月
a04RB00000lZ54zYAC,CN-00000191,198000,2040000,年
a04RB00000miHmIYAU,CN-00000196,40000,480000,月
a04RB00000n5JdiYAE,CN-00000200,11000,,月
a04RB00000n5JdjYAE,CN-00000201,44000,,月
