Id,Name,Invoice__c,Invoice__r.Name,Invoice__r.ParentContract__c,Invoice__r.ParentContract__r.Name,Invoice__r.Billing_Date__c,Invoice__r.CancelStatus__c,Invoice__r.InvoiceAmount__c,ProductMaster__c,ProductMaster__r.Name,ProductMaster__r.MRR_Target__c,ProductMaster__r.BillingTiming__c,ProductMaster__r.UnitPrice__c,Quantity__c,Unit_Price__c,DiscountRate__c,DiscountedUnitPrice__c,Line_Amount__c,TaxAmount__c,AmountWithTax__c
a01RB00001cMzfeYAC,INVL-0000000446,a00RB00002B4i4PYAR,INV-0000000375,a04RB00000n5JdmYAE,CN-00000204,2026-07-20,通常,48400,a0CRB0000CcXZ6T2QW,[OLD] Rendery Enterpriseプラン(2025年9月まで),true,毎月,11000,4,11000,,,44000,4400,48400
a01RB00001cNzAsYAK,INVL-0000000449,a00RB00002B2ejcYAB,INV-0000000378,a04RB00000n5JdmYAE,CN-00000204,2026-06-20,通常,48400,a0CRB0000CcXZ6T2QW,[OLD] Rendery Enterpriseプラン(2025年9月まで),true,毎月,11000,4,11000,,,44000,4400,48400
a01RB00001cMzffYAC,INVL-0000000447,a00RB00002B4i4QYAR,INV-0000000376,a04RB00000n5JdnYAE,CN-00000205,2026-07-20,通常,8800,a0CRB0000CcXZ6Q2QW,Rendery Proプラン,true,毎月,8000,1,8000,,,8000,800,8800
a01RB00001cMzeTYAS,INVL-0000000373,a00RB00002B4i3IYAR,INV-0000000306,a04RB00000n5JdnYAE,CN-00000205,2026-06-20,通常,8800,a0CRB0000CcXZ6Q2QW,Rendery Proプラン,true,毎月,8000,1,8000,,,8000,800,8800
a01RB00001cMzf8YAC,INVL-0000000414,a00RB00002B4i3uYAB,INV-0000000344,a04RB00000n5JdnYAE,CN-00000205,2026-05-20,通常,8800,a0CRB0000CcXZ6Q2QW,Rendery Proプラン,true,毎月,8000,1,8000,,,8000,800,8800
a01RB00001cMzeqYAC,INVL-0000000396,a00RB00002B4i3dYAB,INV-0000000327,a04RB00000n5JdnYAE,CN-00000205,2026-04-20,通常,8800,a0CRB0000CcXZ6Q2QW,Rendery Proプラン,true,毎月,8000,1,8000,,,8000,800,8800
a01RB00001cMzfMYAS,INVL-0000000428,a00RB00002B4i47YAB,INV-0000000357,a04RB00000n5JdnYAE,CN-00000205,2026-03-20,通常,8800,a0CRB0000CcXZ6Q2QW,Rendery Proプラン,true,毎月,8000,1,8000,,,8000,800,8800
a01RB00001cMzfgYAC,INVL-0000000448,a00RB00002B4i4RYAR,INV-0000000377,a04RB00000n5JdoYAE,CN-00000206,2026-07-20,通常,8800,a0CRB0000CcXZ6Q2QW,Rendery Proプラン,true,毎月,8000,1,8000,,,8000,800,8800
a01RB00001cMzeUYAS,INVL-0000000374,a00RB00002B4i3JYAR,INV-0000000307,a04RB00000n5JdoYAE,CN-00000206,2026-06-20,通常,8800,a0CRB0000CcXZ6Q2QW,Rendery Proプラン,true,毎月,8000,1,8000,,,8000,800,8800
a01RB00001cMzf9YAC,INVL-0000000415,a00RB00002B4i3vYAB,INV-0000000345,a04RB00000n5JdoYAE,CN-00000206,2026-05-20,通常,8800,a0CRB0000CcXZ6Q2QW,Rendery Proプラン,true,毎月,8000,1,8000,,,8000,800,8800
a01RB00001cMzerYAC,INVL-0000000397,a00RB00002B4i3eYAB,INV-0000000328,a04RB00000n5JdoYAE,CN-00000206,2026-04-20,通常,8800,a0CRB0000CcXZ6Q2QW,Rendery Proプラン,true,毎月,8000,1,8000,,,8000,800,8800
a01RB00001cMzfNYAS,INVL-0000000429,a00RB00002B4i48YAB,INV-0000000358,a04RB00000n5JdoYAE,CN-00000206,2026-03-20,通常,8800,a0CRB0000CcXZ6Q2QW,Rendery Proプラン,true,毎月,8000,1,8000,,,8000,800,8800
a01RB00001cMzeVYAS,INVL-0000000375,a00RB00002B4i3KYAR,INV-0000000308,a04RB00000n5JdpYAE,CN-00000207,2026-06-20,通常,324500,a0CRB0000CcXZ6V2QW,Rendery Enterpriseプラン,true,毎月,15000,13,15000,,,195000,19500,214500
a01RB00001cMzeWYAS,INVL-0000000376,a00RB00002B4i3KYAR,INV-0000000308,a04RB00000n5JdpYAE,CN-00000207,2026-06-20,通常,324500,a0CRB0000CcXZ6a2QG,Rendery セキュリティオプション(SSO)_初期費用,false,初回のみ,100000,1,100000,,,100000,10000,110000
a01RB00001cMzeXYAS,INVL-0000000377,a00RB00002B4i3LYAR,INV-0000000309,a04RB00000n5JdqYAE,CN-00000208,2026-06-20,通常,12100,a0CRB0000CcXZ6i2QG,knock knock AI Basicプラン(50クレジット),true,毎月,11000,1,11000,,,11000,1100,12100
a01RB00001cMzezYAC,INVL-0000000405,a00RB00002B4i3lYAB,INV-0000000335,a04RB00000n5JdqYAE,CN-00000208,2026-05-20,通常,12100,a0CRB0000CcXZ6i2QG,knock knock AI Basicプラン(50クレジット),true,毎月,11000,1,11000,,,11000,1100,12100
a01RB00001cMzeYYAS,INVL-0000000378,a00RB00002B4i3MYAR,INV-0000000310,a04RB00000n5JdrYAE,CN-00000209,2026-06-20,通常,12100,a0CRB0000CcXZ6i2QG,knock knock AI Basicプラン(50クレジット),true,毎月,11000,1,11000,,,11000,1100,12100
a01RB00001cMzf0YAC,INVL-0000000406,a00RB00002B4i3mYAB,INV-0000000336,a04RB00000n5JdrYAE,CN-00000209,2026-05-20,通常,12100,a0CRB0000CcXZ6i2QG,knock knock AI Basicプラン(50クレジット),true,毎月,11000,1,11000,,,11000,1100,12100
a01RB00001cMzeiYAC,INVL-0000000388,a00RB00002B4i3VYAR,INV-0000000319,a04RB00000n5JdrYAE,CN-00000209,2026-03-20,通常,12100,a0CRB0000CcXZ6i2QG,knock knock AI Basicプラン(50クレジット),true,毎月,11000,1,11000,,,11000,1100,12100
