"Id","MRR__c","ContractName","SourceInvoice","SourceBillingDate","Products"
"a04RB00000n5JdmYAE","44000","CN-00000204","INV-0000000375","2026-07-20","[OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a04RB00000n5JdnYAE","8000","CN-00000205","INV-0000000376","2026-07-20","Rendery Proプラン"
"a04RB00000n5JdoYAE","8000","CN-00000206","INV-0000000377","2026-07-20","Rendery Proプラン"
"a04RB00000n5JdpYAE","195000","CN-00000207","INV-0000000308","2026-06-20","Rendery Enterpriseプラン"
"a04RB00000n5JdqYAE","11000","CN-00000208","INV-0000000309","2026-06-20","knock knock AI Basicプラン(50クレジット)"
"a04RB00000n5JdrYAE","11000","CN-00000209","INV-0000000310","2026-06-20","knock knock AI Basicプラン(50クレジット)"
"a04RB00000n5JdtYAE","8000","CN-00000211","INV-0000000370","2026-07-20","Rendery Proプラン"
"a04RB00000n5JduYAE","16000","CN-00000212","INV-0000000369","2026-07-20","Rendery Proプラン"
"a04RB00000n5JdvYAE","180000","CN-00000213","INV-0000000313","2026-06-20","Rendery Enterpriseプラン / Rendery セキュリティオプション(SSO)_運用費用"
"a04RB00000n5JdwYAE","30000","CN-00000214","INV-0000000365","2026-07-20","Rendery Enterpriseプラン"
"a04RB00000n5JdxYAE","8000","CN-00000215","INV-0000000366","2026-07-20","Rendery Proプラン"
"a04RB00000n5JdyYAE","150000","CN-00000216","INV-0000000316","2026-06-20","Rendery Enterpriseプラン"
"a04RB00000n5JdzYAE","75000","CN-00000217","INV-0000000364","2026-07-20","Rendery Enterpriseプラン"
"a04RB00000n5Je0YAE","11000","CN-00000218","INV-0000000320","2026-03-20","knock knock AI Basicプラン(50クレジット)"
"a04RB00000n5Je1YAE","55000","CN-00000219","INV-0000000341","2026-05-20","[OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a04RB00000n5Je2YAE","8000","CN-00000220","INV-0000000343","2026-05-20","Rendery Proプラン"
"a04RB00000n5Je3YAE","48000","CN-00000221","INV-0000000368","2026-07-20","Rendery Proプラン"
"a04RB00000n5Je4YAE","77000","CN-00000222","INV-0000000332","2026-04-20","[OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a04RB00000n5Je5YAE","11000","CN-00000223","INV-0000000333","2026-04-20","knock knock AI Basicプラン(50クレジット)"
"a04RB00000n5Je6YAE","11000","CN-00000224","INV-0000000334","2026-05-20","knock knock AI Basicプラン(50クレジット)"
"a04RB00000n5Je7YAE","132000","CN-00000225","INV-0000000361","2026-07-20","[OLD] Rendery Enterpriseプラン(2025年9月まで)"
"a04RB00000n5Je8YAE","48000","CN-00000226","INV-0000000362","2026-07-20","Rendery Proプラン"
"a04RB00000n5Je9YAE","24000","CN-00000227","INV-0000000363","2026-07-20","Rendery Proプラン"
