"Id","MRR__c"
"a04RB00000n5JdmYAE","44000"
"a04RB00000n5JdnYAE","8000"
"a04RB00000n5JdoYAE","8000"
"a04RB00000n5JdpYAE","195000"
"a04RB00000n5JdqYAE","11000"
"a04RB00000n5JdrYAE","11000"
"a04RB00000n5JdtYAE","8000"
"a04RB00000n5JduYAE","16000"
"a04RB00000n5JdvYAE","180000"
"a04RB00000n5JdwYAE","30000"
"a04RB00000n5JdxYAE","8000"
"a04RB00000n5JdyYAE","150000"
"a04RB00000n5JdzYAE","75000"
"a04RB00000n5Je0YAE","11000"
"a04RB00000n5Je1YAE","55000"
"a04RB00000n5Je2YAE","8000"
"a04RB00000n5Je3YAE","48000"
"a04RB00000n5Je4YAE","77000"
"a04RB00000n5Je5YAE","11000"
"a04RB00000n5Je6YAE","11000"
"a04RB00000n5Je7YAE","132000"
"a04RB00000n5Je8YAE","48000"
"a04RB00000n5Je9YAE","24000"
