AccountName,ContractNo,ContractId,MonthlyIds,ProductIds,InvoiceIds,QuotationLineIds,FreeeMigrationIds,Classification,取得結果
九州旅客鉄道 株式会社,CN-00000023,CN-00000023,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
九州旅客鉄道 株式会社,CN-00000044,CN-00000044,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
九州旅客鉄道 株式会社,CN-00000049,CN-00000049,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
矢作建設工業株式会社,CN-00000240,CN-00000240,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
アイリスオーヤマ株式会社,CN-00000046,CN-00000046,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
アイリスオーヤマ株式会社,CN-00000047,CN-00000047,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
株式会社 JR東日本建築設計,CN-00000050,CN-00000050,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
株式会社コスモスイニシア,CN-00000059,CN-00000059,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
株式会社コスモスイニシア,CN-00000060,CN-00000060,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
株式会社コスモスイニシア,CN-00000061,CN-00000061,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
株式会社コスモスイニシア,CN-00000062,CN-00000062,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
株式会社石勝エクステリア,CN-00000079,CN-00000079,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
株式会社フジタ,CN-00000100,CN-00000100,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
株式会社フジタ,CN-00000101,CN-00000101,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
株式会社アールシーコア,CN-00000076,CN-00000076,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
株式会社アールシーコア,CN-00000080,CN-00000080,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
野村不動産株式会社,CN-00000083,CN-00000083,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
野村不動産株式会社,CN-00000084,CN-00000084,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
近鉄不動産株式会社,CN-00000096,CN-00000096,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
近鉄不動産株式会社,CN-00000097,CN-00000097,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
株式会社サンテン・コーポレーション,CN-00000233,CN-00000233,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
清水建設 株式会社,CN-00000243,CN-00000243,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
森ビル株式会社,CN-00000251,CN-00000251,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
センコー産業株式会社,CN-00000252,CN-00000252,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
株式会社スタジオ・ノア,CN-00000259,CN-00000259,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
株式会社池田工務店,CN-00000260,CN-00000260,,,,未取得,未取得,月次不足|未請求,契約・月次・請求・商品は既存スナップショットで取得
