Contract,ContractName,Category,Start,End,MRR,Cycle
CN-00000003,サンフロンティア不動産株式会社,Rendery,2024-06-01,,64000,月
CN-00000006,東急株式会社,Rendery,2024-10-01,,11000,月
CN-00000008,株式会社フロンティアコンサルティング,Rendery,2024-08-01,,550000,月
CN-00000009,前田工務店,Rendery,2024-10-01,,8000,月
CN-00000012,ムゲンエステート,Rendery,2024-10-01,,8000,月
CN-00000013,studio55,,2024-09-01,,,月
CN-00000016,東急リゾーツ＆ステイ,,2024-11-01,,44000,月
CN-00000022,株式会社TRIAD,Rendery,2025-01-01,,8000,月
CN-00000023,九州旅客鉄道株式会社　工事部施設課,,2024-12-01,,8000,月
CN-00000026,戸田建設(設計部:月額),Rendery,2025-02-01,,55000,月
CN-00000027,47内装株式会社,Rendery,2025-03-01,,55000,月
CN-00000028,ANAスカイビルサービス株式会社　※郵送希望,Rendery,2025-04-01,,16000,月
CN-00000033,吉村紳　一級建築士事務所,Rendery,2025-04-01,,8000,月
CN-00000036,株式会社デザインアーク,Rendery,2025-05-01,,165000,月
CN-00000040,株式会社アーキテクト・ディベロッパー（5月1日より帝国不動産株式会社）,Rendery,2025-05-01,,48000,月
CN-00000041,野原グループ株式会社,Rendery,2025-05-01,,8000,月
CN-00000044,九州旅客鉄道株式会社　博多設備区,,2025-05-01,,8000,月
CN-00000046,アイリスオーヤマ（ストアデザイン部）,,2025-06-01,,44000,月
CN-00000047,アイリスオーヤマ（空間デザイン部）,,2025-06-01,,11000,月
CN-00000049,九州旅客鉄道株式会社　開発工事部,,2025-06-01,,8000,月
CN-00000053,JOA株式会社,Rendery,2025-09-01,,55000,月
CN-00000055,三井不動産レジデンシャルリース株式会社(ソリューション推進部),Rendery,2025-09-01,,132000,月
CN-00000056,株式会社LIXIL住宅研究所 リノベーション推進室,受託開発,2025-09-01,,8000,月
CN-00000057,三菱地所株式会社(DX推進部),,2025-10-01,,16000,月
CN-00000065,生和コーポレーション株式会社,,2025-11-01,,8000,月
CN-00000067,株式会社三越伊勢丹プロパティデザイン,Rendery,2026-01-01,,48000,月
