Contract,ContractMRR,OpportunityId,OpportunityMRR
CN-00000191,198000,a08RB00001Z16QFYAZ,2040000
CN-00000194,1440000,a08RB00001Z1GBNYA3,120000
CN-00000236,270000,a08RB00001Z1G69YAF,105000
CN-00000239,96000,a08RB00001Z1G9GYAV,16000
CN-00000240,,a08RB00001Z16QXYAZ,55000
CN-00000241,240000,a08RB00001gindqYAA,30000
CN-00000245,76800,a08RB00001etCloYAE,8000
CN-00000254,384000,a08RB00001fc1z4YAA,32000
CN-00000255,600000,a08RB00001eoJRKYA2,250000
CN-00000262,1050000,a08RB00001f7XjtYAE,150000
CN-00000263,120000,a08RB00001l2mmXYAQ,15000
