AccountId,AccountName,Month,Product,Contracts,Count,MRRSum,RecordIds
001RB00001VTruMYAT,大東建託株式会社,2026-09,Rendery Proプラン,CN-00000070|CN-00000250,4,96000,a03RB00001Nswh1YAB|a03RB00001XKZEDYA5|a03RB00001XKZEEYA5|a03RB00001XKZEFYA5
001RB00001VTCYEYA5,野村不動産株式会社,2026-04,Rendery Enterpriseプラン,CN-00000190|CN-00000213,3,150000,a03RB00001QugoxYAB|a03RB00001QugoyYAB|a03RB00001UyZWPYA3
001RB00001VTqgHYAT,コンチネンタルホーム株式会社,2026-07,Rendery Proプラン,CN-00000087|CN-00000196,2,40000,a03RB00001RcAC6YAN|a03RB00001TWvoMYAT
001RB00001VTqgHYAT,コンチネンタルホーム株式会社,2026-08,Rendery Proプラン,CN-00000087|CN-00000196,2,40000,a03RB00001STmHOYA1|a03RB00001X5x2TYAR
001RB00001VTrRuYAL,株式会社サンテン・コーポレーション,2026-07,Rendery Proプラン,CN-00000195|CN-00000233,2,64000,a03RB00001TISW5YAP|a03RB00001VWEogYAH
001RB00001b3qNeYAI,株式会社パインウェル,2026-07,Rendery Proプラン,CN-00000197|CN-00000234,2,16000,a03RB00001TX82PYAT|a03RB00001VWEohYAH
001RB00001VTrvxYAD,清水建設 株式会社,2026-08,Rendery Proプラン,CN-00000231|CN-00000238|CN-00000243,3,24000,a03RB00001VVITJYA5|a03RB00001Vsf74YAB|a03RB00001WZCQ3YAP
001RB00001VTqWFYA1,森ビル株式会社,2026-08,Rendery Proプラン,CN-00000239|CN-00000251,7,192000,a03RB00001WSLkwYAH|a03RB00001WSLkxYAH|a03RB00001WSLkyYAH|a03RB00001WSLkzYAH|a03RB00001WSLl0YAH|a03RB00001WSLl1YAH|a03RB00001XlNH2YAN
001RB00001VTrqmYAD,センコー産業株式会社,2026-08,Rendery Proプラン,CN-00000244|CN-00000252,2,16000,a03RB00001WimNlYAJ|a03RB00001XlNH3YAN
001RB00001VTqleYAD,株式会社大塚商会,2026-09,[年払_代理販売20%] Rendery Proプランネンバライ,CN-00000245|CN-00000254,2,0,a03RB00001X0cEgYAJ|a03RB00001Z0eX3YAJ
001RB00001VTqleYAD,株式会社大塚商会,2026-10,[年払_代理販売20%] Rendery Proプランネンバライ,CN-00000245|CN-00000254,2,0,a03RB00001X0cEhYAJ|a03RB00001Z0eX4YAJ
001RB00001VTqleYAD,株式会社大塚商会,2026-11,[年払_代理販売20%] Rendery Proプランネンバライ,CN-00000245|CN-00000254,2,0,a03RB00001X0cEiYAJ|a03RB00001Z0eX5YAJ
001RB00001VTqleYAD,株式会社大塚商会,2026-12,[年払_代理販売20%] Rendery Proプランネンバライ,CN-00000245|CN-00000254,2,0,a03RB00001X0cEjYAJ|a03RB00001Z0eX6YAJ
001RB00001VTqleYAD,株式会社大塚商会,2027-01,[年払_代理販売20%] Rendery Proプランネンバライ,CN-00000245|CN-00000254,2,0,a03RB00001X0cEkYAJ|a03RB00001Z0eX7YAJ
001RB00001VTqleYAD,株式会社大塚商会,2027-02,[年払_代理販売20%] Rendery Proプランネンバライ,CN-00000245|CN-00000254,2,0,a03RB00001X0cElYAJ|a03RB00001Z0eX8YAJ
001RB00001VTqleYAD,株式会社大塚商会,2027-03,[年払_代理販売20%] Rendery Proプランネンバライ,CN-00000245|CN-00000254,2,0,a03RB00001X0cEmYAJ|a03RB00001Z0eX9YAJ
001RB00001VTqleYAD,株式会社大塚商会,2027-04,[年払_代理販売20%] Rendery Proプランネンバライ,CN-00000245|CN-00000254,2,0,a03RB00001X0cEnYAJ|a03RB00001Z0eXAYAZ
001RB00001VTqleYAD,株式会社大塚商会,2027-05,[年払_代理販売20%] Rendery Proプランネンバライ,CN-00000245|CN-00000254,2,0,a03RB00001X0cEoYAJ|a03RB00001Z0eXBYAZ
001RB00001VTqleYAD,株式会社大塚商会,2027-06,[年払_代理販売20%] Rendery Proプランネンバライ,CN-00000245|CN-00000254,2,0,a03RB00001X0cEpYAJ|a03RB00001Z0eXCYAZ
001RB00001VTqleYAD,株式会社大塚商会,2027-07,[年払_代理販売20%] Rendery Proプランネンバライ,CN-00000245|CN-00000254,2,0,a03RB00001X0cEqYAJ|a03RB00001Z0eXDYAZ
001RB00001VTCYEYA5,野村不動産株式会社,2026-08,Rendery セキュリティオプション(SSO)_運用費用,CN-00000191|CN-00000213,2,60000,a03RB00001X5x2RYAR|a03RB00001X5x2jYAB
001RB00001VTrFpYAL,株式会社スタジオ・ノア,2026-08,Rendery Proプラン,CN-00000253|CN-00000259,2,16000,a03RB00001YziMbYAJ|a03RB00001Zs85ZYAR
001RB00001eIu0zYAC,株式会社池田工務店,2026-08,Rendery Proプラン,CN-00000257|CN-00000260,2,16000,a03RB00001ZAPgPYAX|a03RB00001Zs85aYAB
