Month,Category,Rows,MRRRows,RawMRR,ActivePeriodMRR,InitialMRR,DraftMRR,NullRevenueRows
2024-06,Rendery,1,0,0,0,0,0,0
2024-07,Rendery,1,0,0,0,0,0,0
2024-08,Rendery,2,0,0,0,0,0,0
2024-08,未設定,4,0,0,0,0,0,0
2024-09,Rendery,3,1,8000,8000,0,0,0
2024-09,未設定,11,1,11000,11000,0,0,0
2024-10,Rendery,7,3,27000,27000,0,0,0
2024-10,knock knock AI,1,0,0,0,0,0,0
2024-10,未設定,12,1,11000,11000,0,0,0
2024-11,Rendery,7,3,27000,27000,0,0,0
2024-11,knock knock AI,2,0,0,0,0,0,0
2024-11,未設定,17,1,11000,11000,0,0,0
2024-12,Rendery,7,3,27000,27000,0,0,0
2024-12,knock knock AI,4,0,0,0,0,0,0
2024-12,未設定,20,1,11000,11000,0,0,0
2025-01,Rendery,8,4,35000,35000,0,0,0
2025-01,knock knock AI,5,0,0,0,0,0,0
2025-01,未設定,25,1,11000,11000,0,0,0
2025-02,Rendery,9,4,35000,35000,0,0,0
2025-02,knock knock AI,6,0,0,0,0,0,0
2025-02,未設定,28,1,11000,11000,0,0,0
2025-03,Rendery,10,4,35000,35000,0,0,0
2025-03,knock knock AI,7,0,0,0,0,0,0
2025-03,未設定,28,1,11000,11000,0,0,0
2025-04,Rendery,14,7,77666.666666666668,77666.666666666668,0,0,0
2025-04,knock knock AI,7,0,0,0,0,0,0
2025-04,未設定,36,1,11000,11000,0,0,0
2025-05,Rendery,16,8,289000,289000,0,0,0
2025-05,knock knock AI,7,0,0,0,0,0,0
2025-05,未設定,39,1,11000,11000,0,0,0
2025-06,Rendery,15,8,169000,169000,0,0,0
2025-06,knock knock AI,8,0,0,0,0,0,0
2025-06,未設定,37,1,11000,11000,0,0,0
2025-07,Rendery,17,9,135750,135750,0,0,0
2025-07,knock knock AI,9,0,0,0,0,0,0
2025-07,未設定,37,1,11000,11000,0,0,0
2025-08,Rendery,17,8,163583.333333333336,163583.333333333336,0,0,0
2025-08,knock knock AI,11,0,0,0,0,0,0
2025-08,未設定,40,1,11000,11000,0,0,0
2025-09,Rendery,20,9,301000,301000,0,0,0
2025-09,knock knock AI,12,1,55000,55000,0,0,0
2025-09,受託開発,1,0,0,0,0,0,0
2025-09,未設定,40,1,11000,11000,0,0,0
2025-10,Rendery,22,9,301000,301000,0,0,0
2025-10,knock knock AI,12,1,55000,55000,0,0,0
2025-10,受託開発,1,0,0,0,0,0,0
2025-10,未設定,48,1,11000,11000,0,0,0
2025-11,Rendery,25,11,406000,406000,0,0,0
2025-11,knock knock AI,13,1,55000,55000,0,0,0
2025-11,受託開発,1,0,0,0,0,0,0
2025-11,未設定,46,1,11000,11000,0,0,0
2025-12,Rendery,22,9,301000,301000,0,0,0
2025-12,knock knock AI,14,1,55000,55000,0,0,0
2025-12,受託開発,1,0,0,0,0,0,0
2025-12,未設定,45,2,59000,59000,0,0,0
2026-01,Rendery,30,10,419000,419000,0,0,0
2026-01,knock knock AI,16,3,289000,289000,0,0,0
2026-01,受託開発,1,0,0,0,0,0,0
2026-01,未設定,42,2,35000,35000,0,0,0
2026-02,Rendery,32,10,419000,419000,0,0,0
2026-02,knock knock AI,16,1,55000,55000,0,0,0
2026-02,受託開発,1,0,0,0,0,0,0
2026-02,未設定,41,3,47500,47500,0,0,0
2026-03,Rendery,52,24,906000,906000,0,0,0
2026-03,knock knock AI,19,11,231000,231000,0,0,0
2026-03,受託開発,1,0,0,0,0,0,0
2026-03,未設定,49,2,35000,35000,0,0,0
2026-04,Rendery,57,27,775000,775000,0,0,0
2026-04,knock knock AI,19,10,220000,220000,0,0,0
2026-04,受託開発,1,0,0,0,0,0,0
