Id,Name,Stage,Category,Cycle,StoredMRR,QuoteCount,AcceptedCount,AllQuoteTotal,AllLineTotal,AcceptedRecurringMonthlyScenario,DifferenceToScenario,AcceptedMissingProducts,NonAcceptedLineTotal,ExcludedAcceptedLineTotal
a08RB00001Z16QFYAZ,野村不動産 Rendery エンプラ導入の取引,Closed Won,,月,2040000,1,1,2040000,2040000,2040000,0,0,0,0
a08RB00001Z16QXYAZ,矢作建設工業株式会社 の取引,Closed Won,Rendery,年,55000,1,0,840000,840000,0,55000,0,840000,0
a08RB00001Z1G69YAF,株式会社店研創意,Closed Won,Rendery,月,105000,4,1,390000,390000,105000,0,0,285000,0
a08RB00001Z1G6VYAV,株式会社スタジオ・ノア の取引,Closed Won,Rendery,月,8000,1,1,8000,8000,8000,0,0,0,0
a08RB00001Z1G6mYAF,大東建託株式会社 設計センター,Closed Won,Rendery,月,75000,3,1,1770000,1770000,150000,-75000,0,1620000,0
a08RB00001Z1G6uYAF,コンチネンタルホーム株式会社,Closed Won,,月,40000,1,1,40000,40000,40000,0,0,0,0
a08RB00001Z1G73YAF,阪急阪神不動産,Negotiation,Rendery,月,180000,1,1,1180000,1180000,1080000,-900000,0,0,100000
a08RB00001Z1G7lYAF,株式会社リアルゲイト,Closed Won,Rendery,月,30000,1,0,300000,300000,0,30000,0,300000,0
a08RB00001Z1G8CYAV,トヨタコニックプロ株式会社 の取引,Closed Won,Rendery,月,105000,1,1,940000,940000,840000,-735000,0,0,100000
a08RB00001Z1G8VYAV,サンフロンティア不動産株式会社(アップセル),ValueProposition,Rendery,月,86000,1,1,150000,150000,150000,-64000,0,0,0
a08RB00001Z1G9GYAV,森ビル株式会社　設計部,Closed Won,Rendery,月,16000,1,1,96000,96000,96000,-80000,0,0,0
a08RB00001Z1G9HYAV,近鉄不動産株式会社,Closed Won,,月,345000,2,0,345000,345000,0,345000,0,345000,0
a08RB00001Z1GB3YAN,センコー産業株式会社,Closed Won,Rendery,月,8000,1,1,8000,8000,8000,0,0,0,0
a08RB00001Z1GBNYA3,株式会社野村工務店（大塚商会）,Closed Won,Rendery,年,120000,1,1,1440000,1440000,120000,0,0,0,0
a08RB00001bBu13YAC,株式会社サンテン・コーポレーションRendery導入,Closed Won,,月,32000,1,1,32000,32000,32000,0,0,0,0
a08RB00001dLVHzYAO,清水建設株式会社 九州支店 リニューアル推進部,Closed Won,Rendery,月,8000,1,1,8000,8000,8000,0,0,0,0
a08RB00001ds1L7YAI,株式会社パインウェル,Closed Won,,月,8000,1,1,8000,8000,8000,0,0,0,0
a08RB00001dtYIDYA2,株式会社ワンズ・レーニア,Closed Won,Rendery,月,75000,1,1,75000,75000,0,75000,0,0,75000
a08RB00001el1SaYAI,清水建設株式会社 九州支店設計部,Closed Won,Rendery,月,150000,1,1,150000,150000,0,150000,0,0,150000
a08RB00001eo9oXYAQ,NTTファシリティーズエンジニアリング株式会社,Closed Won,Rendery,月,115000,1,1,215000,215000,115000,0,0,0,100000
a08RB00001eoJRKYA2,近鉄・都ホテルズ株式会社,Closed Won,Rendery,月,250000,1,1,600000,600000,0,250000,0,0,600000
a08RB00001etCloYAE,株式会社ネオデザイン事務所(大塚商会),Closed Won,Rendery,年,8000,1,1,76800,76800,0,8000,0,0,76800
a08RB00001eu7aQYAQ,名古屋鉄道株式会社,ValueProposition,Rendery,月,16000,2,0,283000,283000,0,16000,0,283000,0
a08RB00001ewScLYAU,JR東日本建築設計（アップセル）,Closed Won,Rendery,年,205000,1,1,1580000,1580000,102500.0000000000000000000000,102500.0000000000000000000000,0,0,350000
a08RB00001f7XjtYAE,株式会社石本建築事務所,Closed Won,Rendery,月,150000,2,1,1050000,1050000,0,150000,0,900000,150000
a08RB00001fC2sNYAS,清水建設株式会社 北九州営業所,Closed Won,Rendery,月,8000,1,1,8000,8000,8000,0,0,0,0
a08RB00001fc1z4YAA,株式会社ローザ様(大塚商会),Closed Won,Rendery,年,32000,1,1,384000,384000,0,32000,0,0,384000
a08RB00001gindqYAA,株式会社フジタ　生産性向上推進部（アップセル）,Closed Won,Rendery,年,30000,1,1,240000,240000,20000,10000,0,0,0
a08RB00001h4W9iYAE,大東建託株式会社　商品開発部(アップセル),Closed Won,Rendery,月,24000,3,1,519000,519000,72000,-48000,0,447000,0
a08RB00001h53onYAA,株式会社池田工務店,Closed Won,Rendery,月,8000,1,1,8000,8000,8000,0,0,0,0
a08RB00001hKG2YYAW,ジーク株式会社（大阪）,Negotiation,Rendery,月,75000,2,0,225000,225000,0,75000,0,225000,0
a08RB00001hKGgsYAG,株式会社秀建,Applove,Rendery,月,32000,1,1,32000,32000,32000,0,0,0,0
