attributes,Id,Name,Account__c,MRR__c,StageName__c,ContractUpdate__c,ProductCategory__c,StartDate__c,CreatedDate,LastModifiedDate
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16Q7YAJ'}",a08RB00001Z16Q7YAJ,Renderyエンプラ導入,001RB00001VTqkLYAT,55000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16Q8YAJ'}",a08RB00001Z16Q8YAJ,さくらホームグループ株式会社 の取引,001RB00001VTCY7YAP,24000,Prospecting,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16Q9YAJ'}",a08RB00001Z16Q9YAJ,株式会社フジタ,001RB00001VTrwFYAT,75000,Closed Won,月,Rendery,2026-02-01,2026-06-21T16:02:53.000+0000,2026-08-17T06:44:56.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QAYAZ'}",a08RB00001Z16QAYAZ,ハウジング・ジャパン株式会社 の取引,001RB00001VTCY8YAP,55000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QBYAZ'}",a08RB00001Z16QBYAZ,株式会社リロケーション・ジャパン の取引,001RB00001VTCYAYA5,36300,Negotiation,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QCYAZ'}",a08RB00001Z16QCYAZ,チルホーム株式会社 の取引,001RB00001VTCYBYA5,8800,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QDYAZ'}",a08RB00001Z16QDYAZ,髙松テクノサービス株式会社 の取引,001RB00001VTCYCYA5,16000,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QEYAZ'}",a08RB00001Z16QEYAZ,有限会社汗青社 の取引,001RB00001VTCYDYA5,11000,Prospecting,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QGYAZ'}",a08RB00001Z16QGYAZ,サムティアセットマネジメント株式会社,001RB00001VTqarYAD,12100,ValueProposition,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QIYAZ'}",a08RB00001Z16QIYAZ,ユニオンテック株式会社 の取引,001RB00001VTCZSYA5,26400,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QJYAZ'}",a08RB00001Z16QJYAZ,西日本旅客鉄道株式会社　金沢支社　金沢建築区 の取引,001RB00001VTqaZYAT,5500,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QLYAZ'}",a08RB00001Z16QLYAZ,株式会社三福管理センター の取引,001RB00001VTqatYAD,60500,Closed Won,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QMYAZ'}",a08RB00001Z16QMYAZ,株式会社ケイミックス の取引,001RB00001VTqauYAD,8800,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QOYAZ'}",a08RB00001Z16QOYAZ,三井不動産レジデンシャルリース株式会社(ソリ推)の取引,001RB00001VTqbXYAT,110000,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-28T01:24:06.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QPYAZ'}",a08RB00001Z16QPYAZ,TC神鋼不動産株式会社 の取引,001RB00001VTqfsYAD,12100,Closed Won,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QRYAZ'}",a08RB00001Z16QRYAZ,Nowhere Group株式会社 の取引,001RB00001VTqlRYAT,26400,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QSYAZ'}",a08RB00001Z16QSYAZ,株式会社リペア の取引,001RB00001VTqklYAD,8800,Closed Lost,月,Rendery,2025-06-01,2026-06-21T16:02:53.000+0000,2026-07-30T04:29:21.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QTYAZ'}",a08RB00001Z16QTYAZ,株式会社ひかり工務店 の取引,001RB00001VTqkmYAD,8800,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QVYAZ'}",a08RB00001Z16QVYAZ,中央日本土地建物株式会社 の取引,001RB00001VTqkJYAT,55000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z16QWYAZ'}",a08RB00001Z16QWYAZ,株式会社レーベントラスト の取引,001RB00001VTqbqYAD,60500,Closed Won,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
