Report,Month,Rows,Total,MRRFlagRevenue,NonMRRTotal,InitialTotal,DraftTotal,MigrationTotal,NoProductTotal
Rendery月別契約中MRR,2026-03,52,3064584,906000,2158584,0,0,0,627584
Rendery月別契約中MRR,2026-04,57,2682584,775000,1907584,0,0,0,603584
Rendery月別契約中MRR,2026-05,58,2791584,738000,2053584,0,0,0,727584
Rendery月別契約中MRR,2026-06,90,5421484,1669500,3751984,0,0,0,792584
Rendery月別契約中MRR,2026-07,77,5079636.5,1365000,3714636.5,0,0,0,975584
Rendery月別契約中MRR,2026-08,89,6232000,2300000,3932000,0,0,0,981000
Rendery月別契約中MRR,2026-09,9,576000,8000,568000,0,0,0,498000
Rendery月別契約中MRR,2026-10,9,576000,8000,568000,0,0,0,498000
Rendery月別契約中MRR,2026-11,9,576000,8000,568000,0,0,0,498000
Rendery月別契約中MRR,2026-12,9,576000,8000,568000,0,0,0,498000
Rendery月別契約中MRR,2027-01,9,576000,8000,568000,0,0,0,498000
Rendery月別契約中MRR,2027-02,8,506000,8000,498000,0,0,0,498000
Rendery Total MRR,2024-06,1,64000,0,64000,0,0,0,0
Rendery Total MRR,2024-07,1,64000,0,64000,0,0,0,0
Rendery Total MRR,2024-08,2,91500,0,91500,0,0,0,0
Rendery Total MRR,2024-09,3,99500,8000,91500,0,0,0,0
Rendery Total MRR,2024-10,5,118500,27000,91500,0,0,0,0
Rendery Total MRR,2024-11,5,118500,27000,91500,0,0,0,0
Rendery Total MRR,2024-12,5,118500,27000,91500,0,0,0,0
Rendery Total MRR,2025-01,6,126500,35000,91500,0,0,0,0
Rendery Total MRR,2025-02,6,495000,35000,460000,0,0,0,0
Rendery Total MRR,2025-03,6,495000,35000,460000,0,0,0,0
Rendery Total MRR,2025-04,9,537666.666666666668,77666.666666666668,460000,0,0,0,0
Rendery Total MRR,2025-05,12,921000,289000,632000,0,0,0,0
Rendery Total MRR,2025-06,12,757000,169000,588000,0,0,0,0
Rendery Total MRR,2025-07,13,723750,135750,588000,0,0,0,0
Rendery Total MRR,2025-08,12,751583.333333333336,163583.333333333336,588000,0,0,0,0
Rendery Total MRR,2025-09,16,1103000,301000,802000,0,0,0,0
Rendery Total MRR,2025-10,16,1155000,301000,854000,0,0,0,0
Rendery Total MRR,2025-11,19,1285000,406000,879000,0,0,0,0
Rendery Total MRR,2025-12,17,1203000,349000,854000,0,0,0,0
Rendery Total MRR,2026-01,22,2080000,443000,1637000,0,0,0,0
Rendery Total MRR,2026-02,24,1456500,455500,1001000,0,0,0,0
Rendery Total MRR,2026-03,46,3414940,675000,2739940,0,1655940,1655940,0
Rendery Total MRR,2026-04,57,5354000,799000,4555000,0,3219000,3219000,0
Rendery Total MRR,2026-05,60,3242000,807000,2435000,0,1122000,1122000,0
Rendery Total MRR,2026-06,93,5431900,1936500,3495400,0,607000,607000,0
Rendery Total MRR,2026-07,82,5741000,2901000,2840000,0,1555000,0,0
Rendery Total MRR,2026-08,128,7060400,3821000,3239400,100000,1562400,0,0
Rendery Total MRR,2026-09,22,1118400,260000,858400,350000,996400,0,0
Rendery Total MRR,2026-10,29,827900.000000000004,269500.000000000004,558400,450000,705900.000000000004,0,0
Rendery Total MRR,2026-11,25,262900.000000000004,154500.000000000004,108400,0,140900.000000000004,0,0
Rendery Total MRR,2026-12,25,262900.000000000004,154500.000000000004,108400,0,140900.000000000004,0,0
Rendery Total MRR,2027-01,24,238900.000000000004,130500.000000000004,108400,0,140900.000000000004,0,0
Rendery Total MRR,2027-02,23,168900.000000000004,130500.000000000004,38400,0,140900.000000000004,0,0
Rendery Total MRR,2027-03,23,168900.000000000004,130500.000000000004,38400,0,140900.000000000004,0,0
Rendery Total MRR,2027-04,22,160900.000000000004,122500.000000000004,38400,0,140900.000000000004,0,0
Rendery Total MRR,2027-05,22,160900.000000000004,122500.000000000004,38400,0,140900.000000000004,0,0
Rendery Total MRR,2027-06,22,160900.000000000004,122500.000000000004,38400,0,140900.000000000004,0,0
Rendery Total MRR,2027-07,22,160900.000000000004,122500.000000000004,38400,0,140900.000000000004,0,0
Rendery Total MRR,2027-08,13,134500.000000000004,102500.000000000004,32000,0,134500.000000000004,0,0
Rendery Total MRR,2027-09,12,102500.000000000004,102500.000000000004,0,0,102500.000000000004,0,0
