Month,Contract,ContractName,Product,Count,MRRRows,MRRSum,Amounts,SourceIds,InvoiceIds,RecordIds
2026-08,CN-00000069,フロンヴィルホームズ名古屋株式会社,Rendery Proプラン,2,1,8000,20000|8000,None|None,a00RB00002Am2BRYAZ|a00RB00002FL0DLYA1,a03RB00001NswgsYAB|a03RB00001YgjegYAB
2026-06,CN-00000103,株式会社ジョイフル本田（Pro１アカウント）,Rendery Proプラン,2,2,16000,8000|8000,None|None,a00RB00002Am2BfYAJ|a00RB00002Am2BfYAJ,a03RB00001Nswk8YAB|a03RB00001Uj0sHYAR
2026-06,CN-00000106,株式会社乃村工藝社  カルチャー・コミュニケーション推進本部,Rendery Proプラン,2,2,64000,32000|32000,None|None,a00RB00002Am2BAYAZ|a00RB00002Am2BAYAZ,a03RB00001NswkNYAR|a03RB00001Uj0s3YAB
2026-06,CN-00000111,株式会社エリオクリエイト,Rendery Proプラン,2,2,104000,96000|8000,None|None,a00RB000027fzNvYAI|a00RB000027fzNvYAI,a03RB00001NswkdYAB|a03RB00001VUaoXYAT
2026-06,CN-00000112,株式会社創建ホーム,[年払] Rendery Enterpriseプラン,2,0,0,None|84000,None|None,a00RB00002B5oL4YAJ|a00RB00002B5oL4YAJ,a03RB00001NswkeYAB|a03RB00001VUaoYYAT
2026-05,CN-00000149,TC神鋼不動産株式会社,knock knock AI Basicプラン(50クレジット),2,1,11000,11000|11000,None|None,a00RB000027flsLYAQ|a00RB00002Am2AvYAJ,a03RB00001NswrOYAR|a03RB00001Uj0sKYAR
2026-04,CN-00000176,Mig_freee請求移行_株式会社コスモスイニシア,Rendery セキュリティオプション+_運用費用,2,0,0,604000|1276000,None|None,a00RB000024Ux5EYAS|a00RB000024Ux5FYAS,a03RB00001QugoZYAR|a03RB00001QugoaYAB
2026-04,CN-00000190,Mig_freee請求移行_野村不動産株式会社,Rendery Enterpriseプラン,2,0,0,600000|280000,None|None,a00RB000024Ux5DYAS|a00RB000024Ux5GYAS,a03RB00001QugoxYAB|a03RB00001QugoyYAB
2026-06,CN-00000012,ムゲンエステート,Rendery Proプラン,2,2,16000,8000|8000,None|None,a00RB00002Am2BpYAJ|a00RB00002Am2BpYAJ,a03RB00001RIREgYAP|a03RB00001Uj0rwYAB
2026-06,CN-00000119,ハウスプラザ,knock knock AI Basicプラン(50クレジット),2,2,22000,11000|11000,None|None,a00RB00002AyetiYAB|a00RB00002AyetiYAB,a03RB00001RIREhYAP|a03RB00001VH5KVYA1
2026-06,CN-00000121,株式会社イーグランド,knock knock AI Basicプラン(50クレジット),2,2,22000,11000|11000,None|None,a00RB00002AyetlYAB|a00RB00002AyetlYAB,a03RB00001RIREiYAP|a03RB00001VH5KUYA1
