Contract,ContractName,Month,Rows,Total,MRRFlagRevenue,NonMRRTotal,InitialTotal,DraftTotal,MigrationTotal,NoProductTotal,CurrentReportTotal,TotalReportTotal
CN-00000036,株式会社デザインアーク,2025-05,2,330000,198000,132000,0,0,0,0,0,330000
CN-00000036,株式会社デザインアーク,2025-06,1,66000,0,66000,0,0,0,0,0,66000
CN-00000036,株式会社デザインアーク,2025-07,1,66000,0,66000,0,0,0,0,0,66000
CN-00000036,株式会社デザインアーク,2025-08,1,66000,0,66000,0,0,0,0,0,66000
CN-00000036,株式会社デザインアーク,2025-09,1,66000,0,66000,0,0,0,0,0,66000
CN-00000036,株式会社デザインアーク,2025-10,1,66000,0,66000,0,0,0,0,0,66000
CN-00000036,株式会社デザインアーク,2025-11,1,66000,0,66000,0,0,0,0,0,66000
CN-00000036,株式会社デザインアーク,2025-12,1,66000,0,66000,0,0,0,0,0,66000
CN-00000036,株式会社デザインアーク,2026-01,2,451000,0,451000,0,0,0,0,0,451000
CN-00000036,株式会社デザインアーク,2026-02,1,55000,0,55000,0,0,0,0,0,55000
CN-00000036,株式会社デザインアーク,2026-03,1,55000,0,55000,0,0,0,0,55000,55000
CN-00000036,株式会社デザインアーク,2026-04,1,55000,0,55000,0,0,0,0,55000,55000
CN-00000036,株式会社デザインアーク,2026-05,1,55000,0,55000,0,0,0,0,55000,55000
CN-00000036,株式会社デザインアーク,2026-06,3,418000,198000,220000,0,0,0,0,418000,418000
CN-00000036,株式会社デザインアーク,2026-07,2,220000,0,220000,0,0,0,0,220000,220000
CN-00000036,株式会社デザインアーク,2026-08,1,55000,0,55000,0,0,0,0,55000,55000
CN-00000083,野村不動産株式会社,2026-04,1,150000,0,150000,0,0,0,150000,0,0
CN-00000083,野村不動産株式会社,2026-05,1,150000,0,150000,0,0,0,150000,0,0
CN-00000083,野村不動産株式会社,2026-06,1,150000,0,150000,0,0,0,150000,0,0
CN-00000083,野村不動産株式会社,2026-07,1,150000,0,150000,0,0,0,150000,0,0
CN-00000083,野村不動産株式会社,2026-08,1,150000,0,150000,0,0,0,150000,0,0
CN-00000084,野村不動産株式会社（シングルサインオン分）,2026-04,1,30000,0,30000,0,0,0,30000,0,0
CN-00000084,野村不動産株式会社（シングルサインオン分）,2026-05,1,30000,0,30000,0,0,0,30000,0,0
CN-00000084,野村不動産株式会社（シングルサインオン分）,2026-06,1,30000,0,30000,0,0,0,30000,0,0
CN-00000084,野村不動産株式会社（シングルサインオン分）,2026-07,1,30000,0,30000,0,0,0,30000,0,0
CN-00000084,野村不動産株式会社（シングルサインオン分）,2026-08,1,30000,0,30000,0,0,0,30000,0,0
CN-00000108,株式会社デザインアーク　東京本店　東京スペースソリューション第１営業所,2026-06,1,30000,0,30000,0,0,0,30000,30000,0
CN-00000108,株式会社デザインアーク　東京本店　東京スペースソリューション第１営業所,2026-07,1,30000,0,30000,0,0,0,30000,30000,0
CN-00000108,株式会社デザインアーク　東京本店　東京スペースソリューション第１営業所,2026-08,2,195000,0,195000,0,0,0,30000,195000,165000
CN-00000112,株式会社創建ホーム,2026-06,2,1092000,0,1092000,0,0,0,0,1092000,1092000
CN-00000112,株式会社創建ホーム,2026-07,1,1008000,0,1008000,0,0,0,0,1008000,1008000
CN-00000112,株式会社創建ホーム,2026-08,1,1008000,0,1008000,0,0,0,0,1008000,1008000
CN-00000190,Mig_freee請求移行_野村不動産株式会社,2026-04,2,880000,0,880000,0,880000,880000,0,0,880000
CN-00000191,野村不動産株式会社　商業事業本部,2026-07,3,310000,170000,140000,0,0,0,0,310000,310000
CN-00000191,野村不動産株式会社　商業事業本部,2026-08,3,310000,170000,140000,0,0,0,0,310000,310000
CN-00000213,野村不動産株式会社 Rendery Enterpriseプラン Freee自動請求契約,2026-04,2,180000,180000,0,0,0,0,0,180000,180000
CN-00000213,野村不動産株式会社 Rendery Enterpriseプラン Freee自動請求契約,2026-05,2,180000,180000,0,0,0,0,0,180000,180000
CN-00000213,野村不動産株式会社 Rendery Enterpriseプラン Freee自動請求契約,2026-06,2,180000,180000,0,0,0,0,0,180000,180000
CN-00000213,野村不動産株式会社 Rendery Enterpriseプラン Freee自動請求契約,2026-08,2,180000,180000,0,0,0,0,0,180000,180000
CN-00000214,株式会社デザインアーク（東京スペースソリューション第１営業所） Rendery Enterpriseプラン Freee自動請求契約,2026-06,1,30000,30000,0,0,0,0,0,30000,30000
CN-00000214,株式会社デザインアーク（東京スペースソリューション第１営業所） Rendery Enterpriseプラン Freee自動請求契約,2026-07,1,30000,30000,0,0,0,0,0,30000,30000
CN-00000214,株式会社デザインアーク（東京スペースソリューション第１営業所） Rendery Enterpriseプラン Freee自動請求契約,2026-08,1,30000,30000,0,0,0,0,0,30000,30000
