SourceSheet,SourceRow,Date,Account,Contract,MonthlyName,Amount,ContractMRR,LiveMatchCount,LiveIds,LiveTotals,AmountMatch
【営業】Rendery 月別契約中MRR,13,2026/03/01,サンフロンティア不動産株式会社,CN-00000003,サンフロンティア不動産株式会社_2026/03,64000,64000,1,a03RB00001NswUcYAJ,64000,True
【営業】Rendery 月別契約中MRR,14,2026/03/01,東急株式会社,CN-00000006,東急株式会社_2026/03,11000,11000,1,a03RB00001NswVQYAZ,11000,True
【営業】Rendery 月別契約中MRR,15,2026/03/01,東急建設株式会社,CN-00000007,東急建設 ○独特の請求書式あり_2026/03,,8000,1,a03RB00001NswVjYAJ,None,True
【営業】Rendery 月別契約中MRR,16,2026/03/01,株式会社フロンティアコンサルティング,CN-00000008,株式会社フロンティアコンサルティング_2026/03,462000,550000,1,a03RB00001NswWFYAZ,462000,True
【営業】Rendery 月別契約中MRR,17,2026/03/01,株式会社前田工務店,CN-00000009,前田工務店_2026/03,8000,8000,1,a03RB00001NswWaYAJ,8000,True
【営業】Rendery 月別契約中MRR,18,2026/03/01,株式会社ムゲンエステート,CN-00000012,ムゲンエステート_2026/03,8000,8000,1,a03RB00001NswX4YAJ,8000,True
【営業】Rendery 月別契約中MRR,19,2026/03/01,株式会社TRIAD,CN-00000022,株式会社TRIAD_2026/03,8000,8000,1,a03RB00001NswZIYAZ,8000,True
【営業】Rendery 月別契約中MRR,20,2026/03/01,戸田建設株式会社,CN-00000026,戸田建設(設計部:月額)_2026/03,55000,55000,1,a03RB00001NswZzYAJ,55000,True
【営業】Rendery 月別契約中MRR,21,2026/03/01,戸田建設株式会社,CN-00000026,a03RB00001Uj0rj,90000,55000,1,a03RB00001Uj0rjYAB,90000,True
【営業】Rendery 月別契約中MRR,22,2026/03/01,戸田建設株式会社,CN-00000026,a03RB00001Uj0rk,50000,55000,1,a03RB00001Uj0rkYAB,50000,True
【営業】Rendery 月別契約中MRR,23,2026/03/01,戸田建設株式会社,CN-00000026,a03RB00001Uj0rl,255000,55000,1,a03RB00001Uj0rlYAB,255000,True
【営業】Rendery 月別契約中MRR,24,2026/03/01,戸田建設株式会社,CN-00000026,a03RB00001VH5KK,90000,55000,1,a03RB00001VH5KKYA1,90000,True
【営業】Rendery 月別契約中MRR,25,2026/03/01,戸田建設株式会社,CN-00000026,a03RB00001VH5KL,30000,55000,1,a03RB00001VH5KLYA1,30000,True
【営業】Rendery 月別契約中MRR,26,2026/03/01,戸田建設株式会社,CN-00000026,a03RB00001VH5KM,50000,55000,1,a03RB00001VH5KMYA1,50000,True
【営業】Rendery 月別契約中MRR,27,2026/03/01,戸田建設株式会社,CN-00000026,a03RB00001VH5KN,30000,55000,1,a03RB00001VH5KNYA1,30000,True
【営業】Rendery 月別契約中MRR,28,2026/03/01,戸田建設株式会社,CN-00000026,a03RB00001VH5KO,255000,55000,1,a03RB00001VH5KOYA1,255000,True
【営業】Rendery 月別契約中MRR,29,2026/03/01,47内装株式会社,CN-00000027,47内装株式会社_2026/03,55000,55000,1,a03RB00001NswaEYAR,55000,True
【営業】Rendery 月別契約中MRR,30,2026/03/01,ANAスカイビルサービス株式会社,CN-00000028,ANAスカイビルサービス株式会社 ※郵送希望_2026/03,16000,16000,1,a03RB00001NswaSYAR,16000,True
【営業】Rendery 月別契約中MRR,31,2026/03/01,吉村紳 一級建築士事務所,CN-00000033,吉村紳 一級建築士事務所_2026/03,8000,8000,1,a03RB00001NswbUYAR,8000,True
【営業】Rendery 月別契約中MRR,32,2026/03/01,矢作建設工業株式会社,CN-00000035,矢作建設工業株式会社_2026/03,49584,55000,1,a03RB00001NswbkYAB,49584,True
【営業】Rendery 月別契約中MRR,33,2026/03/01,株式会社デザインアーク,CN-00000036,株式会社デザインアーク_2026/03,55000,165000,1,a03RB00001NswbzYAB,55000,True
【営業】Rendery 月別契約中MRR,34,2026/03/01,株式会社アーキテクト・ディベロッパー,CN-00000040,株式会社アーキテクト・ディベロッパー（5月1日より帝国不動産株式会社）_2026/03,48000,48000,1,a03RB00001NswcHYAR,48000,True
【営業】Rendery 月別契約中MRR,35,2026/03/01,野原グループ株式会社,CN-00000041,野原グループ株式会社_2026/03,8000,8000,1,a03RB00001NswcVYAR,8000,True
【営業】Rendery 月別契約中MRR,36,2026/03/01,JOA株式会社,CN-00000053,JOA株式会社_2026/03,55000,55000,1,a03RB00001NsweaYAB,55000,True
【営業】Rendery 月別契約中MRR,37,2026/03/01,三井不動産レジデンシャルリース株式会社,CN-00000055,三井不動産レジデンシャルリース株式会社(ソリューション推進部)_2026/03,110000,132000,1,a03RB00001NsweoYAB,110000,True
【営業】Rendery 月別契約中MRR,38,2026/03/01,株式会社大塚商会,CN-00000063,大塚商会（大和財宅）_2026/03,88000,88000,1,a03RB00001NswgIYAR,88000,True
