AccountName,ContractNo,ContractId,Status,ContractMRR,AugTotal,AugMRRTarget,InvoiceCount,InvoiceTotal,QuotationCount,QuotationTotal,QuotationLineCount,Diagnosis
株式会社コスモスイニシア,CN-00000058,a04RB00000kUAOWYA4,解約,100000,0,0,0,0,7,3072000,7,契約MRR対MRR対象差|8月明細なし|契約直結請求なし
株式会社コスモスイニシア,CN-00000059,a04RB00000kUAOXYA4,Activated,98000,98000,0,0,0,7,3072000,7,契約MRR対MRR対象差|非MRR明細|契約直結請求なし
株式会社コスモスイニシア,CN-00000060,a04RB00000kUAOYYA4,Activated,70000,70000,0,0,0,7,3072000,7,契約MRR対MRR対象差|非MRR明細|契約直結請求なし
株式会社コスモスイニシア,CN-00000061,a04RB00000kUAOZYA4,Activated,42000,42000,0,0,0,7,3072000,7,契約MRR対MRR対象差|非MRR明細|契約直結請求なし
株式会社コスモスイニシア,CN-00000062,a04RB00000kUAOaYAO,Activated,30000,30000,0,0,0,7,3072000,7,契約MRR対MRR対象差|非MRR明細|契約直結請求なし
株式会社コスモスイニシア,CN-00000176,a04RB00000kVL7VYAW,Draft,0,0,0,4,3515000,7,3072000,7,Draft|8月明細なし
株式会社コスモスイニシア,CN-00000249,a04RB00000nauInYAI,Activated,0,500000,0,1,500000,7,3072000,7,非MRR明細
近鉄不動産株式会社,CN-00000096,a04RB00000kUAP8YAO,Activated,180000,180000,0,0,0,7,3072000,7,契約MRR対MRR対象差|非MRR明細|契約直結請求なし
近鉄不動産株式会社,CN-00000097,a04RB00000kUAP9YAO,Activated,100000,100000,0,0,0,7,3072000,7,契約MRR対MRR対象差|非MRR明細|契約直結請求なし
近鉄不動産株式会社,CN-00000183,a04RB00000kVL7cYAG,Draft,0,0,0,2,455000,7,3072000,7,Draft|8月明細なし
近鉄不動産株式会社,CN-00000207,a04RB00000n5JdpYAE,Activated,195000,295000,195000,1,295000,7,3072000,7,非MRR明細
清水建設 株式会社,CN-00000232,a04RB00000nCFH5YAO,Draft,150000,150000,0,1,150000,1,150000,1,Draft|契約MRR対MRR対象差|非MRR明細
清水建設 株式会社,CN-00000231,a04RB00000nCVWrYAO,Draft,8000,8000,8000,1,8000,1,8000,1,Draft
清水建設 株式会社,CN-00000238,a04RB00000nIA1VYAW,Draft,8000,8000,8000,1,8000,1,8000,1,Draft
清水建設 株式会社,CN-00000243,a04RB00000nS9IgYAK,Activated,8000,8000,8000,0,0,7,3072000,7,契約直結請求なし
株式会社石勝エクステリア,CN-00000072,a04RB00000kUAOkYAO,Activated,100000,100000,0,5,1560000,7,3072000,7,契約MRR対MRR対象差|非MRR明細
株式会社石勝エクステリア,CN-00000079,a04RB00000kUAOrYAO,Activated,30000,30000,0,0,0,7,3072000,7,契約MRR対MRR対象差|非MRR明細|契約直結請求なし
株式会社石勝エクステリア,CN-00000181,a04RB00000kVL7aYAG,Draft,0,0,0,1,140000,7,3072000,7,Draft|8月明細なし
森ビル株式会社,CN-00000239,a04RB00000nQDdJYAW,Draft,96000,96000,96000,1,96000,1,96000,6,Draft
森ビル株式会社,CN-00000251,a04RB00000nmHDdYAM,Activated,0,96000,96000,0,0,7,3072000,7,契約MRR対MRR対象差|契約直結請求なし
