AccountId,AccountName,ContractCount,ContractMRR,AugTotal,AugMRRTarget,ContractVsMRRTargetDiff,TotalVsMRRTargetDiff,StatusSummary
"001RB00001VTqkwYAD","アイリスオーヤマ株式会社","6","87000","55000","0","87000","55000","解約|解約|Activated|Activated|Activated|Activated"
"001RB00001VTqlZYAT","アイリスチトセ株式会社","4","170000","77000","77000","93000","0","解約|解約|Draft|Activated"
"001RB00001VTCYwYAP","インフィニティ株式会社","2","16000","8000","8000","8000","0","解約|Activated"
"001RB00001VTrqmYAD","センコー産業株式会社","2","8000","16000","16000","-8000","0","Draft|Activated"
"001RB00001VTqxQYAT","株式会社アールシーコア","4","250000","500000","250000","0","250000","Activated|Activated|Draft|Activated"
"001RB00001VTqgBYAT","株式会社コスモスイニシア","7","340000","740000","0","340000","740000","解約|Activated|Activated|Activated|Activated|Draft|Activated"
"001RB00001VTrRuYAL","株式会社サンテン・コーポレーション","2","64000","32000","32000","32000","0","Draft|Activated"
"001RB00001VTtIVYA1","株式会社シアーズホーム","2","22000","11000","11000","11000","0","解約|Activated"
"001RB00001VTqkQYAT","株式会社ジョイフル本田","3","118000","63000","63000","55000","0","解約|Activated|Activated"
"001RB00001VTrFpYAL","株式会社スタジオ・ノア","2","8000","16000","16000","-8000","0","Draft|Activated"
"001RB00001VTtIcYAL","株式会社ハートランド","3","22000","11000","11000","11000","0","解約|Draft|Activated"
"001RB00001b3qNeYAI","株式会社パインウェル","2","16000","8000","8000","8000","0","Draft|Activated"
"001RB00001VTrrHYAT","株式会社ワンズ・レーニア","2","150000","75000","75000","75000","0","Draft|Activated"
"001RB00001VTqnMYAT","株式会社石勝エクステリア","3","130000","130000","0","130000","130000","Activated|Activated|Draft"
"001RB00001eIu0zYAC","株式会社池田工務店","2","8000","16000","16000","-8000","0","Draft|Activated"
"001RB00001VTrvcYAD","近鉄不動産株式会社","4","475000","575000","195000","280000","380000","Activated|Activated|Draft|Activated"
"001RB00001VTqWFYA1","森ビル株式会社","2","96000","192000","192000","-96000","0","Draft|Activated"
"001RB00001VTrvxYAD","清水建設 株式会社","4","174000","174000","24000","150000","150000","Draft|Draft|Draft|Activated"
"001RB00001VTruMYAT","大東建託株式会社","6","402000","306000","306000","96000","0","解約|Activated|解約|Activated|Draft|Draft"
