順位,AccountName,AccountId,ContractID,ContractNo,Status,ContractMRR,AugTotal,AugMRRTarget,Diff,MonthlyId,ProductId,ProductName,MonthlyTotal,MRR_Target,InitialFee,QuotationLineId,InvoiceId
1,株式会社コスモスイニシア,001RB00001VTqgBYAT,a04RB00000kUAOWYA4,CN-00000058,解約,100000,0,0,100000,-,-,-,0,false,-,-,-
"1","株式会社コスモスイニシア","001RB00001VTqgBYAT","a04RB00000kUAOXYA4","CN-00000059","Activated","98000","740000","0","340000","a03RB00001NswfOYAR","","","98000","false","false","",""
"1","株式会社コスモスイニシア","001RB00001VTqgBYAT","a04RB00000kUAOYYA4","CN-00000060","Activated","70000","740000","0","340000","a03RB00001NswfaYAB","","","70000","false","false","",""
"1","株式会社コスモスイニシア","001RB00001VTqgBYAT","a04RB00000kUAOZYA4","CN-00000061","Activated","42000","740000","0","340000","a03RB00001NswfsYAB","","","42000","false","false","",""
"1","株式会社コスモスイニシア","001RB00001VTqgBYAT","a04RB00000kUAOaYAO","CN-00000062","Activated","30000","740000","0","340000","a03RB00001Nswg4YAB","","","30000","false","false","",""
1,株式会社コスモスイニシア,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,CN-00000176,Draft,,0,0,0,-,-,-,0,false,-,-,-
"1","株式会社コスモスイニシア","001RB00001VTqgBYAT","a04RB00000nauInYAI","CN-00000249","Activated","","740000","0","340000","a03RB00001X7UsJYAV","a0CRB0000DxJR402QG","二次審査資料作成業務","500000","false","true","","a00RB00002DIzJ3YAL"
"2","近鉄不動産株式会社","001RB00001VTrvcYAD","a04RB00000kUAP8YAO","CN-00000096","Activated","180000","575000","195000","280000","a03RB00001STmHWYA1","","","180000","false","false","",""
"2","近鉄不動産株式会社","001RB00001VTrvcYAD","a04RB00000kUAP9YAO","CN-00000097","Activated","100000","575000","195000","280000","a03RB00001STmHXYA1","","","100000","false","false","",""
2,近鉄不動産株式会社,001RB00001VTrvcYAD,a04RB00000kVL7cYAG,CN-00000183,Draft,,0,0,0,-,-,-,0,false,-,-,-
"2","近鉄不動産株式会社","001RB00001VTrvcYAD","a04RB00000n5JdpYAE","CN-00000207","Activated","195000","575000","195000","280000","a03RB00001X5x2bYAB","a0CRB0000CcXZ6a2QG","Rendery セキュリティオプション(SSO)_初期費用","100000","false","false","",""
"2","近鉄不動産株式会社","001RB00001VTrvcYAD","a04RB00000n5JdpYAE","CN-00000207","Activated","195000","575000","195000","280000","a03RB00001X5x2cYAB","a0CRB0000CcXZ6V2QW","Rendery Enterpriseプラン","195000","true","false","",""
"3","清水建設 株式会社","001RB00001VTrvxYAD","a04RB00000nCFH5YAO","CN-00000232","Draft","150000","174000","24000","150000","a03RB00001VU9YAYA1","a0CRB0000Ck3ReH2QU","Rendery_Enterpriseプラン","150000","false","false","a09RB000013Dn0fYAC","a00RB00002Bbke2YAB"
"3","清水建設 株式会社","001RB00001VTrvxYAD","a04RB00000nCVWrYAO","CN-00000231","Draft","8000","174000","24000","150000","a03RB00001VVITJYA5","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","8000","true","false","a09RB000013SnMvYAK","a00RB00002BavLRYAZ"
"3","清水建設 株式会社","001RB00001VTrvxYAD","a04RB00000nIA1VYAW","CN-00000238","Draft","8000","174000","24000","150000","a03RB00001Vsf74YAB","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","8000","true","false","a09RB000012DpnpYAC","a00RB00002C0iFgYAJ"
"3","清水建設 株式会社","001RB00001VTrvxYAD","a04RB00000nS9IgYAK","CN-00000243","Activated","8000","174000","24000","150000","a03RB00001WZCQ3YAP","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","8000","true","false","",""
"4","株式会社石勝エクステリア","001RB00001VTqnMYAT","a04RB00000kUAOkYAO","CN-00000072","Activated","100000","130000","0","130000","a03RB00001NswhMYAR","","","100000","false","false","",""
"4","株式会社石勝エクステリア","001RB00001VTqnMYAT","a04RB00000kUAOrYAO","CN-00000079","Activated","30000","130000","0","130000","a03RB00001NswiTYAR","","","30000","false","false","",""
4,株式会社石勝エクステリア,001RB00001VTqnMYAT,a04RB00000kVL7aYAG,CN-00000181,Draft,,0,0,0,-,-,-,0,false,-,-,-
