"AccountId","AccountName","Contracts","CandidateRows","MonthlyRows","MonthlyEvidence","Invoices","InvoiceEvidence","QuotationCheck","MergeDecision","RequiredAction"
"001RB00001VTqkwYAD","アイリスオーヤマ株式会社","CN-00000046 / CN-00000047 / CN-00000246 / CN-00000247","4","32","あり","4","あり","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001VTqlZYAT","アイリスチトセ株式会社","CN-00000164 / CN-00000222","2","4","あり","3","あり","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001VTCYwYAP","インフィニティ株式会社","CN-00000220","1","4","あり","3","あり","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001VTrqmYAD","センコー産業株式会社","CN-00000252","1","1","あり","0","なし","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001VTqxQYAT","株式会社アールシーコア","CN-00000076 / CN-00000080 / CN-00000173 / CN-00000248","4","27","あり","7","あり","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001VTqgBYAT","株式会社コスモスイニシア","CN-00000059 / CN-00000060 / CN-00000061 / CN-00000062 / CN-00000176 / CN-00000249","6","65","あり","5","あり","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001VTrRuYAL","株式会社サンテン・コーポレーション","CN-00000233","1","2","あり","0","なし","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001VTtIVYA1","株式会社シアーズホーム","CN-00000218","1","2","あり","1","あり","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001VTqkQYAT","株式会社ジョイフル本田","CN-00000103 / CN-00000219","2","8","あり","6","あり","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001VTrFpYAL","株式会社スタジオ・ノア","CN-00000259","1","1","あり","0","なし","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001VTtIcYAL","株式会社ハートランド","CN-00000180 / CN-00000208","2","5","あり","4","あり","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001b3qNeYAI","株式会社パインウェル","CN-00000234","1","2","あり","1","あり","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001VTrrHYAT","株式会社ワンズ・レーニア","CN-00000228","1","2","あり","2","あり","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001VTqnMYAT","株式会社石勝エクステリア","CN-00000072 / CN-00000079 / CN-00000181","3","40","あり","6","あり","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001eIu0zYAC","株式会社池田工務店","CN-00000260","1","1","あり","0","なし","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001VTrvcYAD","近鉄不動産株式会社","CN-00000096 / CN-00000097 / CN-00000183 / CN-00000207","4","16","あり","3","あり","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001VTqWFYA1","森ビル株式会社","CN-00000251","1","1","あり","0","なし","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001VTrvxYAD","清水建設 株式会社","CN-00000243","1","1","あり","0","なし","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001VTruMYAT","大東建託株式会社","CN-00000070 / CN-00000235","2","18","あり","5","あり","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
"001RB00001VTCYEYA5","野村不動産株式会社","CN-00000083 / CN-00000084 / CN-00000190 / CN-00000191 / CN-00000213","5","26","あり","6","あり","要確認","業務回答待ち","契約期間・月次明細・請求・見積のID突合"
