"AccountId","AccountName","CandidateRows","Contracts","HighActivated","MigrationRows","MonthlyRows","Invoices","ReviewPriority","NextCheck"
"001RB00001VTqkwYAD","アイリスオーヤマ株式会社","4","CN-00000046 / CN-00000047 / CN-00000246 / CN-00000247","4","2","32","4","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTqlZYAT","アイリスチトセ株式会社","2","CN-00000164 / CN-00000222","1","2","4","3","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTCYwYAP","インフィニティ株式会社","1","CN-00000220","1","1","4","3","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTrqmYAD","センコー産業株式会社","1","CN-00000252","1","1","1","0","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTqxQYAT","株式会社アールシーコア","4","CN-00000076 / CN-00000080 / CN-00000173 / CN-00000248","3","2","27","7","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTqgBYAT","株式会社コスモスイニシア","6","CN-00000059 / CN-00000060 / CN-00000061 / CN-00000062 / CN-00000176 / CN-00000249","5","2","65","5","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTrRuYAL","株式会社サンテン・コーポレーション","1","CN-00000233","1","1","2","0","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTtIVYA1","株式会社シアーズホーム","1","CN-00000218","1","1","2","1","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTqkQYAT","株式会社ジョイフル本田","2","CN-00000103 / CN-00000219","2","1","8","6","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTrFpYAL","株式会社スタジオ・ノア","1","CN-00000259","1","1","1","0","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTtIcYAL","株式会社ハートランド","2","CN-00000180 / CN-00000208","1","2","5","4","最優先","契約期間→月次明細→請求→見積"
"001RB00001b3qNeYAI","株式会社パインウェル","1","CN-00000234","1","1","2","1","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTrrHYAT","株式会社ワンズ・レーニア","1","CN-00000228","1","1","2","2","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTqnMYAT","株式会社石勝エクステリア","3","CN-00000072 / CN-00000079 / CN-00000181","2","1","40","6","最優先","契約期間→月次明細→請求→見積"
"001RB00001eIu0zYAC","株式会社池田工務店","1","CN-00000260","1","1","1","0","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTrvcYAD","近鉄不動産株式会社","4","CN-00000096 / CN-00000097 / CN-00000183 / CN-00000207","3","2","16","3","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTqWFYA1","森ビル株式会社","1","CN-00000251","1","1","1","0","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTrvxYAD","清水建設 株式会社","1","CN-00000243","1","1","1","0","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTruMYAT","大東建託株式会社","2","CN-00000070 / CN-00000235","2","1","18","5","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTCYEYA5","野村不動産株式会社","5","CN-00000083 / CN-00000084 / CN-00000190 / CN-00000191 / CN-00000213","4","2","26","6","最優先","契約期間→月次明細→請求→見積"
