"AccountId","AccountName","CandidateRows","Contracts","HighActivated","MigrationRows","MonthlyRows","Invoices","ReviewPriority","NextCheck"
"001RB00001VTqkwYAD","アイリスオーヤマ株式会社","4","CN-00000046 / CN-00000047 / CN-00000246 / CN-00000247","4","2","32","4","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTqlZYAT","アイリスチトセ株式会社","2","CN-00000164 / CN-00000222","1","2","4","3","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTCYwYAP","インフィニティ株式会社","1","CN-00000220","1","1","4","3","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTqgHYAT","コンチネンタルホーム株式会社","1","CN-00000196","1","0","2","3","高","契約期間→月次明細→請求→見積"
"001RB00001VTrqmYAD","センコー産業株式会社","1","CN-00000252","1","1","1","0","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTrHVYA1","株式会社 JR東日本建築設計","1","CN-00000050","1","0","21","0","高","契約期間→月次明細→請求→見積"
"001RB00001VTtIWYA1","株式会社Housebank千葉","1","CN-00000132","1","0","6","6","高","契約期間→月次明細→請求→見積"
"001RB00001VTqxQYAT","株式会社アールシーコア","4","CN-00000076 / CN-00000080 / CN-00000173 / CN-00000248","3","2","27","7","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTqgBYAT","株式会社コスモスイニシア","6","CN-00000059 / CN-00000060 / CN-00000061 / CN-00000062 / CN-00000176 / CN-00000249","5","2","65","5","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTrRuYAL","株式会社サンテン・コーポレーション","1","CN-00000233","1","1","2","0","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTtIVYA1","株式会社シアーズホーム","1","CN-00000218","1","1","2","1","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTqkQYAT","株式会社ジョイフル本田","2","CN-00000103 / CN-00000219","2","1","8","6","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTrFpYAL","株式会社スタジオ・ノア","1","CN-00000259","1","1","1","0","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTruAYAT","株式会社デザインアーク","2","CN-00000036 / CN-00000108","2","0","25","18","高","契約期間→月次明細→請求→見積"
"001RB00001VTtIcYAL","株式会社ハートランド","2","CN-00000180 / CN-00000208","1","2","5","4","最優先","契約期間→月次明細→請求→見積"
"001RB00001b3qNeYAI","株式会社パインウェル","1","CN-00000234","1","1","2","1","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTrwFYAT","株式会社フジタ","3","CN-00000073 / CN-00000100 / CN-00000101","3","0","39","1","高","契約期間→月次明細→請求→見積"
"001RB00001VTqlOYAT","株式会社ムゲンエステート","1","CN-00000012","1","0","41","6","高","契約期間→月次明細→請求→見積"
"001RB00001VTrrHYAT","株式会社ワンズ・レーニア","1","CN-00000228","1","1","2","2","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTqaIYAT","株式会社西武開発","1","CN-00000123","1","0","8","1","高","契約期間→月次明細→請求→見積"
"001RB00001VTqnMYAT","株式会社石勝エクステリア","3","CN-00000072 / CN-00000079 / CN-00000181","2","1","40","6","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTqleYAD","株式会社大塚商会","1","CN-00000063","1","0","14","9","高","契約期間→月次明細→請求→見積"
"001RB00001eIu0zYAC","株式会社池田工務店","1","CN-00000260","1","1","1","0","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTCZZYA5","株式会社乃村工藝社","1","CN-00000106","1","0","5","2","高","契約期間→月次明細→請求→見積"
"001RB00001VTrvcYAD","近鉄不動産株式会社","4","CN-00000096 / CN-00000097 / CN-00000183 / CN-00000207","3","2","16","3","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTrOlYAL","九州旅客鉄道 株式会社","3","CN-00000023 / CN-00000044 / CN-00000049","3","0","52","0","高","契約期間→月次明細→請求→見積"
"001RB00001VTrmnYAD","戸田建設株式会社","1","CN-00000026","1","0","29","7","高","契約期間→月次明細→請求→見積"
"001RB00001VTqbXYAT","三井不動産レジデンシャルリース株式会社","1","CN-00000055","1","0","12","6","高","契約期間→月次明細→請求→見積"
"001RB00001VTqWFYA1","森ビル株式会社","1","CN-00000251","1","1","1","0","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTrvxYAD","清水建設 株式会社","1","CN-00000243","1","1","1","0","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTruMYAT","大東建託株式会社","2","CN-00000070 / CN-00000235","2","1","18","5","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTCYEYA5","野村不動産株式会社","5","CN-00000083 / CN-00000084 / CN-00000190 / CN-00000191 / CN-00000213","4","2","26","6","最優先","契約期間→月次明細→請求→見積"
"001RB00001VTqlfYAD","矢作建設工業株式会社","2","CN-00000035 / CN-00000240","2","0","18","8","高","契約期間→月次明細→請求→見積"
